,ShoeName,URL,no_colors,price_reduce,price,Category,Brand,product_code
0,,https://www.nike.com/t/dunk-low-womens-shoes-4W2Z5P/DD1503-101,1,115.0,115,Women,Nike,DD1503-101
1,Nike Gamma Force,https://www.nike.com/t/gamma-force-womens-shoes-4TR9Xf/DX9176-101,9,72.97,90,Women,Nike,DX9176-101
2,Nike Court Vision Low Next Nature,https://www.nike.com/t/court-vision-low-next-nature-womens-shoes-ZkMMBG/DH3158-107,6,60.97,80,Women,Nike,DH3158-107
3,Nike Air Max 270,https://www.nike.com/t/air-max-270-womens-shoes-Pgb94t/DZ7736-002,12,120.97,160,Women,Nike,DZ7736-002
4,Nike Air Max 1,https://www.nike.com/t/air-max-1-womens-shoes-0vW0ds/DZ2628-102,6,140.0,140,Women,Nike,DZ2628-102
5,Nike Free Metcon 5,https://www.nike.com/t/free-metcon-5-womens-workout-shoes-h4Zl5h/DV3950-601,7,120.0,120,Women,Nike,DV3950-601
6,Nike Metcon 9,https://www.nike.com/t/metcon-9-womens-workout-shoes-xMlsHx/DZ2537-603,10,140.0,140,Women,Nike,DZ2537-603
7,Nike Blazer Mid '77,https://www.nike.com/t/blazer-mid-77-womens-shoes-NPWfjm/CZ1055-100,4,105.0,105,Women,Nike,CZ1055-100
8,Nike Blazer Low '77,https://www.nike.com/t/blazer-low-77-womens-shoes-01lVDq/DC4769-102,1,90.0,90,Women,Nike,DC4769-102
9,Nike Pegasus 40,https://www.nike.com/t/pegasus-40-womens-road-running-shoes-L80k6C/DV3854-100,18,130.0,130,Women,Nike,DV3854-100
10,Nike Structure 25,https://www.nike.com/t/structure-25-womens-road-running-shoes-Zh2tPh/FV3635-171,10,140.0,140,Women,Nike,FV3635-171
11,Nike Court Legacy Lift,https://www.nike.com/t/court-legacy-lift-womens-shoes-x0B6BB/DM7590-100,9,76.97,90,Women,Nike,DM7590-100
12,Nike Court Legacy Next Nature,https://www.nike.com/t/court-legacy-next-nature-womens-shoes-8r07x0/DH3161-100,6,59.97,70,Women,Nike,DH3161-100
13,Nike InfinityRN 4,https://www.nike.com/t/infinityrn-4-womens-road-running-shoes-ZrWGRG/DR2670-006,15,136.97,160,Women,Nike,DR2670-006
14,Nike Invincible 3,https://www.nike.com/t/invincible-3-womens-road-running-shoes-r2vJbh/DR2660-001,11,180.0,180,Women,Nike,DR2660-001
15,Nike Air VaporMax 2023 Flyknit,https://www.nike.com/t/air-vapormax-2023-flyknit-womens-shoes-gZhc8N/FD3148-001,8,157.97,210,Women,Nike,FD3148-001
16,Nike Air Max Excee,https://www.nike.com/t/air-max-excee-womens-shoes-jKsgMj/CD5432-101,7,71.97,95,Women,Nike,CD5432-101
17,Nike Revolution 7,https://www.nike.com/t/revolution-7-womens-road-running-shoes-wP5p63/FB2208-100,6,52.97,70,Women,Nike,FB2208-100
18,Nike Interact Run,https://www.nike.com/t/interact-run-womens-road-running-shoes-v5LlQl/FD2292-100,3,72.97,85,Women,Nike,FD2292-100
19,Nike Air Force 1 Wild,https://www.nike.com/t/air-force-1-wild-womens-shoes-r7kSSl/FB2348-700,5,145.0,145,Women,Nike,FB2348-700
20,Nike Tech Hera,https://www.nike.com/t/tech-hera-womens-shoes-NjvkxR/DR9761-800,7,82.97,110,Women,Nike,DR9761-800
21,Nike Air Max SC,https://www.nike.com/t/air-max-sc-womens-shoes-CwMCK7/FQ8886-100,12,67.97,90,Women,Nike,FQ8886-100
22,Nike Dunk Low Twist,https://www.nike.com/t/dunk-low-twist-womens-shoes-TsSP0p/DZ2794-700,4,106.97,125,Women,Nike,DZ2794-700
23,Nike Phoenix Waffle,https://www.nike.com/t/phoenix-waffle-womens-shoes-CDl2fm/FD2196-100,3,100.0,100,Women,Nike,FD2196-100
24,Nike TC 7900,https://www.nike.com/t/tc-7900-womens-shoes-ZsbDW9/DD9682-102,2,90.97,120,Women,Nike,DD9682-102
25,Nike V2K Run,https://www.nike.com/t/v2k-run-womens-shoes-nRRH5X/FD0736-101,3,110.0,110,Women,Nike,FD0736-101
26,"Air Jordan 4 Craft ""Olive""",https://www.nike.com/t/air-jordan-4-craft-olive-mens-shoes-GmXFz0/FB9927-200,1,210.0,210,Women,Nike,FB9927-200
27,Nike Vaporfly 3,https://www.nike.com/t/vaporfly-3-womens-road-racing-shoes-4jJ4vQ/FV3634-181,4,260.0,260,Women,Nike,FV3634-181
28,Nike Vomero 17,https://www.nike.com/t/w-vomero-17-XBlwsP/FB8502-100,6,160.0,160,Women,Nike,FB8502-100
29,Nike Air Max 90,https://www.nike.com/t/air-max-90-womens-shoes-2ZsM2w/FB8455-001,13,119.97,140,Women,Nike,FB8455-001
30,Nike Dunk Low,https://www.nike.com/t/dunk-low-womens-shoes-Zg780j/FQ8876-618,1,97.97,115,Women,Nike,FQ8876-618
31,Nike Air Max 90 Futura,https://www.nike.com/t/air-max-90-futura-womens-shoes-kvRZ4h/DM9922-002,8,150.0,150,Women,Nike,DM9922-002
32,Nike Dunk High,https://www.nike.com/t/dunk-high-womens-shoes-LwCxXJ/DD1869-103,2,130.0,130,Women,Nike,DD1869-103
33,Nike Pegasus Shield,https://www.nike.com/t/pegasus-shield-womens-weatherized-road-running-shoes-dXsmXn/DO7626-001,3,145.0,145,Women,Nike,DO7626-001
34,Nike Winflo 10,https://www.nike.com/t/wio-10-womens-road-running-shoes-TVcjsT/DV4023-001,10,105.0,105,Women,Nike,DV4023-001
35,Nike Motiva,https://www.nike.com/t/motiva-womens-walking-shoes-ZfZQm6/DV1238-001,4,110.0,110,Women,Nike,DV1238-001
36,Nike Free RN NN,https://www.nike.com/t/free-rn-nn-womens-road-running-shoes-XkgH7L/DX6482-002,5,110.0,110,Women,Nike,DX6482-002
