,ShoeName,URL,no_colors,price_reduce,price,Category,Brand,product_code
0,FENTY x PUMA Creeper Phatty Women's SneakersPUMA Black-Warm White-Gum,https://us.puma.com/us/en/pd/fenty-x-puma-creeper-phatty-womens-sneakers/399332?swatch=01&referrer-category=womens-shop-all-womens,3,140.00,140.00,Women,Puma,399332_01
1,FENTY x PUMA Creeper Phatty Women's SneakersLavender Alert-Burnt Red-Gum,https://us.puma.com/us/en/pd/fenty-x-puma-creeper-phatty-womens-sneakers/399332?swatch=03&referrer-category=womens-shop-all-womens,3,140.00,140.00,Women,Puma,399332_03
2,FENTY x PUMA Creeper Phatty Women's SneakersSpeed Blue-Lime Pow-Gum,https://us.puma.com/us/en/pd/fenty-x-puma-creeper-phatty-womens-sneakers/399332?swatch=02&referrer-category=womens-shop-all-womens,3,140.00,140.00,Women,Puma,399332_02
3,Basket Classic Velvet Women's SneakersMalachite-Puma Team Gold-PUMA White,https://us.puma.com/us/en/pd/basket-classic-velvet-womens-sneakers/398949?swatch=01&referrer-category=womens-shop-all-womens,2,64.99,80.00,Women,Puma,398949_01
4,Basket Classic Velvet Women's SneakersDark Jasper-Puma Team Gold-PUMA White,https://us.puma.com/us/en/pd/basket-classic-velvet-womens-sneakers/398949?swatch=02&referrer-category=womens-shop-all-womens,2,64.99,80.00,Women,Puma,398949_02
5,Mayze Heritage Velvet Women's SneakersPUMA White-Malachite-Puma Team Gold,https://us.puma.com/us/en/pd/mayze-heritage-velvet-womens-sneakers/397113?swatch=01&referrer-category=womens-shop-all-womens,1,84.99,100.00,Women,Puma,397113_01
6,CA Pro Velour SneakersMalachite-Warm White,https://us.puma.com/us/en/pd/ca-pro-velour-sneakers/397112?swatch=01&referrer-category=womens-shop-all-womens,2,79.99,100.00,Women,Puma,397112_01
7,CA Pro Velour SneakersPUMA Black-PUMA Black,https://us.puma.com/us/en/pd/ca-pro-velour-sneakers/397112?swatch=02&referrer-category=womens-shop-all-womens,2,79.99,100.00,Women,Puma,397112_02
8,Suede Classic XXI Women's SneakersPuma Black-Puma White,https://us.puma.com/us/en/pd/suede-classic-xxi-womens-sneakers/381410?swatch=01&referrer-category=womens-shop-all-womens,6,75.00,75.00,Women,Puma,381410_01
9,Cali Women's SneakersPuma White-Puma Black,https://us.puma.com/us/en/pd/cali-womens-sneakers/369155?swatch=04&referrer-category=womens-shop-all-womens,2,80.00,80.00,Women,Puma,369155_04
10,Mayze Women's SneakersPuma White-Puma Black,https://us.puma.com/us/en/pd/mayze-womens-sneakers/381983?swatch=01&referrer-category=womens-shop-all-womens,2,90.00,90.00,Women,Puma,381983_01
11,Cali Women's SneakersPuma White-Puma White,https://us.puma.com/us/en/pd/cali-womens-sneakers/369155?swatch=01&referrer-category=womens-shop-all-womens,2,80.00,80.00,Women,Puma,369155_01
12,Cali Wedge Women's SneakersPuma White-Puma White,https://us.puma.com/us/en/pd/cali-wedge-womens-sneakers/373438?swatch=01&referrer-category=womens-shop-all-womens,2,90.00,90.00,Women,Puma,373438_01
13,Mayze Classic Women's SneakersPuma White,https://us.puma.com/us/en/pd/mayze-classic-womens-sneakers/384209?swatch=01&referrer-category=womens-shop-all-womens,2,90.00,90.00,Women,Puma,384209_01
14,Suede Classic XXI Women's SneakersHigh Risk Red-Puma White,https://us.puma.com/us/en/pd/suede-classic-xxi-womens-sneakers/381410?swatch=02&referrer-category=womens-shop-all-womens,6,75.00,75.00,Women,Puma,381410_02
15,Roma Classic Gum SneakersPuma White-Puma Team Gold,https://us.puma.com/us/en/pd/roma-classic-gum-sneakers/366408?swatch=01&referrer-category=womens-shop-all-womens,2,70.00,70.00,Women,Puma,366408_01
16,RS-X Glimmer Women's SneakersPUMA White-Gold-Warm White,https://us.puma.com/us/en/pd/rs-x-glimmer-womens-sneakers/397089?swatch=01&referrer-category=womens-shop-all-womens,1,110.00,110.00,Women,Puma,397089_01
