,product_code,count_of_sizes,colors
0,DD1503-101,13,['White/White/Black']
1,DX9176-101,15,"['White/Rugged Orange/Campfire Orange/Cedar', 'White/Rush Fuchsia/Emerald Rise', 'White/Summit White/Iron Grey/Black', 'White/Light Smoke Grey/Summit White/Malachite', 'Sail/Wheat Gold/Team Red/Fir', 'Sail/Sea Glass/Coconut Milk/Light Silver', 'White/Light Bone/Sanddrift/Phantom', 'Sail/Light Orewood Brown/Amber Brown/Bronzine', 'White/Deep Royal Blue/Summit White/Game Royal']"
2,DH3158-107,15,"['White/White/Black', 'White/University Blue', 'White/White/White', 'White/Pink Oxford', 'White/White/Metallic Silver', 'White/Black/Summit White/Hemp']"
3,DZ7736-002,15,"['Light Bone/White/Metallic Silver/Diffused Blue', 'Sea Glass/White/Oil Green', 'Pure Platinum/Volt/White/Black', 'Hyper Pink/White/Hyper Pink', 'White/White/Black', 'Light Ultramarine/White/Black/Light Ultramarine', 'Black/Black/Black', 'White/Fuchsia Dream/Black', 'Black/Phantom/Fierce Pink/Metallic Silver', 'Light Soft Pink/Pink Oxford/Desert Berry/Black', 'White/Black/Metallic Silver/Dusty Cactus', 'Black/White/Anthracite']"
4,DZ2628-102,13,"['Midnight Navy/Natural/Varsity Maize', 'Neutral Grey/White/Black/Safety Orange', 'Pale Ivory/White/Sail/Sanddrift', 'White/Sea Glass/Black/Volt', 'White/Summit White/Black', 'Neutral Grey/White/Black/Fuchsia Dream']"
5,DV3950-601,11,"['Bordeaux/Black/Volt/Vivid Purple', 'Black/White/Fireberry/Metallic Gold', 'Pale Ivory/Light Silver/Mica Green/Ice Peach', 'White/Luminous Green/Sea Glass/Lime Blast', 'Black/Anthracite/White', 'Sea Glass/Burgundy Crush/White/Sea Glass', 'Citron Tint/Volt/Summit White/Cool Grey']"
6,DZ2537-603,15,"['Black/Fireberry/Metallic Gold', 'White/Luminous Green/Sea Glass/Lime Blast', 'Light Silver/Guava Ice/Mica Green/Pale Ivory', 'Bordeaux/Vivid Purple/Volt/Black', 'Amber Brown/Light Bone/Mica Green/Guava Ice', 'Jade Ice/Black/Mineral/White', 'Sail/Guava Ice/Rush Fuchsia/White', 'Black/Anthracite/Smoke Grey/White', 'Atomic Orange/Ice Peach/Peach Cream/White', 'Phantom/Light Bone/Black']"
7,CZ1055-100,15,"['White/Sail/Diffused Blue', 'White/White/Peach/White', 'White/Sail/Peach/Black', 'White/Peach/Summit White/Pink Oxford']"
8,DC4769-102,15,['White/Sail/White/Black']
9,DV3854-100,15,"['Fierce Pink/Pink Foam/Fireberry/Metallic Red Bronze', 'Court Purple/White/Black/Coral Chalk', 'Photon Dust/Light Smoke Grey/Bright Mandarin/Obsidian', 'Deep Jungle/Black/White/Metallic Silver', 'Sea Glass/White/Burgundy Crush', 'Guava Ice/Amber Brown/Photon Dust/Vivid Purple', 'Phantom/Jade Ice/Sail/White', 'Black/White', 'Black/Anthracite/Black', 'White/Pure Platinum/Metallic Silver', 'Volt/Barely Volt/Bright Crimson/Volt', 'Pearl Pink/Pink Foam/Hemp/White', 'White/Coconut Milk/Black', 'Black/Iron Grey/White', 'Summit White/Sail/Adobe/Multi-Color']"
