,product_code,count_of_sizes,colors
0,399332_01,12,"['PUMA Black-Warm White-Gum', 'Speed Blue-Lime Pow-Gum', 'Lavender Alert-Burnt Red-Gum']"
1,399332_03,12,"['PUMA Black-Warm White-Gum', 'Speed Blue-Lime Pow-Gum', 'Lavender Alert-Burnt Red-Gum']"
2,399332_02,12,"['PUMA Black-Warm White-Gum', 'Speed Blue-Lime Pow-Gum', 'Lavender Alert-Burnt Red-Gum']"
3,398949_01,12,"['Malachite-Puma Team Gold-PUMA White', 'Dark Jasper-Puma Team Gold-PUMA White']"
4,398949_02,12,"['Malachite-Puma Team Gold-PUMA White', 'Dark Jasper-Puma Team Gold-PUMA White']"
5,397113_01,12,['PUMA White-Malachite-Puma Team Gold']
6,397112_01,19,"['Malachite-Warm White', 'PUMA Black-PUMA Black']"
7,397112_02,19,"['Malachite-Warm White', 'PUMA Black-PUMA Black']"
8,381410_01,12,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Marshmallow-Puma White', 'Lily Pad-Lily Pad', 'Icy Blue-PUMA White', 'Granola-Warm White']"
9,369155_04,12,"['Puma White-Puma White', 'Puma White-Puma Black']"
10,381983_01,11,"['Puma White-Puma Black', 'Puma White-Peyote']"
11,369155_01,12,"['Puma White-Puma White', 'Puma White-Puma Black']"
12,373438_01,12,"['Puma White-Puma White', 'Puma Black-Puma White']"
13,384209_01,12,"['Puma White', 'Puma Black']"
14,381410_02,12,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Marshmallow-Puma White', 'Lily Pad-Lily Pad', 'Icy Blue-PUMA White', 'Granola-Warm White']"
15,366408_01,17,"['Puma White-Puma Team Gold', 'Puma Black-Puma Team Gold']"
16,397089_01,12,['PUMA White-Gold-Warm White']
17,381410_10,12,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Marshmallow-Puma White', 'Lily Pad-Lily Pad', 'Icy Blue-PUMA White', 'Granola-Warm White']"
18,373438_02,12,"['Puma White-Puma White', 'Puma Black-Puma White']"
19,392730_01,12,"['PUMA White', 'PUMA Black', 'PUMA White-PUMA Black', 'PUMA Black-PUMA White']"
20,399262_02,12,"['Club Navy', 'Dark Myrtle']"
21,380784_01,12,['Puma Black-Puma White']
22,392710_01,9,['Whisper White-ARUBA BLUE']
23,393772_05,12,"['Frosty Pink-Warm White', 'Frosty Pink-Ravish-Pearl Pink']"
24,396352_02,12,['PUMA Black']
25,366408_02,18,"['Puma White-Puma Team Gold', 'Puma Black-Puma Team Gold']"
26,381410_90,12,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Marshmallow-Puma White', 'Lily Pad-Lily Pad', 'Icy Blue-PUMA White', 'Granola-Warm White']"
27,393772_02,12,"['Frosty Pink-Warm White', 'Frosty Pink-Ravish-Pearl Pink']"
28,379140_01,10,['PUMA White-Feather Gray']
29,381983_02,10,"['Puma White-Puma Black', 'Puma White-Peyote']"
30,399262_01,12,"['Club Navy', 'Dark Myrtle']"
31,392886_01,12,['Iridescent-PUMA White']
32,397090_01,12,['Frosted Ivory-Warm White-Cashew']
33,396704_02,19,['Sedate Gray-PUMA White']
34,385248_01,12,['Pristine-Marshmallow']
35,396172_01,12,['Puma White']
36,393065_01,12,"['Warm White', 'PUMA Black']"
37,393802_09,12,"['PUMA White-PUMA Black', 'PUMA White-PUMA White-PUMA Gold']"
38,377540_04,11,"['Icy Blue-Ultra Blue', 'Ash Gray-PUMA White-Yellow Burst-Vivid Violet']"
39,392730_08,12,"['PUMA White', 'PUMA Black', 'PUMA White-PUMA Black', 'PUMA Black-PUMA White']"
40,397643_02,12,"['Fresh Mint-Fast Pink', 'Cobalt Glaze-PUMA White']"
41,394786_01,12,"['PUMA Black', 'Chocolate']"
42,392086_01,15,['PUMA White-Pristine']
43,383112_04,12,['Puma White-Puma Black-Gray Violet']
44,378456_01,12,"['PUMA Black-PUMA Silver', 'PUMA Black-Peach Smoothie-Speed Green', 'Fire Orchid-Ultra Blue']"
45,394755_02,12,['PUMA White']
46,389853_06,12,"['PUMA White-Marshmallow', 'PUMA White-Warm White-Dark Jasper']"
47,392730_02,12,"['PUMA White', 'PUMA Black', 'PUMA White-PUMA Black', 'PUMA Black-PUMA White']"
48,389454_04,5,"['PUMA Black', 'Frosted Ivory']"
49,371008_27,12,['Dark Jasper-Warm White']
50,376262_21,12,['Fire Orchid-Ultra Blue']
51,377746_04,12,"['PUMA Black-Cool Dark Gray-PUMA Silver', 'Cool Dark Gray-Koral Ice', 'Eucalyptus-Alpine Snow-PUMA Black', 'Alpine Snow-Ultra Blue-Yellow Burst', 'Active Red-Ocean Tropic-Lime Pow: out of stock']"
52,378318_02,20,['Light Aqua-PUMA White']
53,309720_04,12,['Sugared Almond-PUMA Gold']
54,392730_04,12,"['PUMA White', 'PUMA Black', 'PUMA White-PUMA Black', 'PUMA Black-PUMA White']"
55,379886_01,21,['PUMA Navy']
56,377758_09,12,"['PUMA Black-PUMA White', 'Fire Orchid-PUMA Black-PUMA Silver']"
57,376855_22,12,"['PUMA Black-Fire Orchid', 'Fire Orchid-PUMA Black-Icy Blue', 'Poison Pink-PUMA Black-PUMA White']"
58,392085_01,15,['PUMA White-PUMA White']
59,393301_02,19,['Cayenne Pepper-Astro Red']
60,393065_02,12,"['Warm White', 'PUMA Black']"
61,390932_02,18,"['PUMA White-PUMA Black', 'PUMA Black-PUMA White', 'Warm White-Yellow Burst-Parakeet Green']"
62,393802_01,12,"['PUMA White-PUMA Black', 'PUMA White-PUMA White-PUMA Gold']"
63,377758_01,12,"['PUMA Black-PUMA White', 'Fire Orchid-PUMA Black-PUMA Silver']"
64,107565_03,13,"['Silver Sky-PUMA Black-Fire Orchid', 'Alpine Snow-Asphalt-Yellow Blaze']"
65,397647_03,12,"['PUMA White-Vapor Gray-Gum', 'PUMA Black-Feather Gray-Gum']"
66,376855_17,12,"['PUMA Black-Fire Orchid', 'Fire Orchid-PUMA Black-Icy Blue', 'Poison Pink-PUMA Black-PUMA White']"
67,384209_02,12,"['Puma White', 'Puma Black']"
68,107507_03,13,"['PUMA White-PUMA Black-Fire Orchid', 'Ultra Blue-PUMA White-Pro Green']"
69,389454_05,5,"['PUMA Black', 'Frosted Ivory']"
70,393449_02,19,['Chocolate Chip-Flaxen']
71,396463_07,13,"['Pelé Yellow-Club Red: out of stock', 'Fresh Mint-Fast Pink', 'Vine-Clementine', 'Cobalt Glaze-PUMA White', 'Club Red-Club Navy: out of stock']"
72,378482_02,12,"['PUMA Black-Koral Ice-Speed Green-PUMA Silver', 'Koral Ice-Speed Green']"
73,393078_01,19,['Sedate Gray-Pinktastic']
74,377746_05,12,"['PUMA Black-Cool Dark Gray-PUMA Silver', 'Cool Dark Gray-Koral Ice', 'Eucalyptus-Alpine Snow-PUMA Black', 'Alpine Snow-Ultra Blue-Yellow Burst', 'Active Red-Ocean Tropic-Lime Pow: out of stock']"
75,309758_01,12,"['PUMA White-Cherry Tomato', 'Cherry Tomato-PUMA Black']"
76,395461_11,12,['PUMA White-Frosty Pink']
77,378823_01,12,['PUMA Black-PUMA White-Dark Coal']
78,393326_01,17,['Persian Blue-Orange Brick']
79,390932_01,12,"['PUMA White-PUMA Black', 'PUMA Black-PUMA White', 'Warm White-Yellow Burst-Parakeet Green']"
80,307826_02,19,"['PUMA Black-Warm White', 'Rosso Corsa-Warm White']"
81,307826_01,19,"['PUMA Black-Warm White', 'Rosso Corsa-Warm White']"
82,378688_02,12,"['PUMA Black-PUMA White', 'PUMA White-Speed Green', 'PUMA Black-Bold Blue-Future Pink']"
83,378906_01,14,['PUMA Black-Koral Ice-Speed Green']
84,393314_02,16,['Sedate Gray-Sedate Gray']
85,378482_01,12,"['PUMA Black-Koral Ice-Speed Green-PUMA Silver', 'Koral Ice-Speed Green']"
86,378456_03,12,"['PUMA Black-PUMA Silver', 'PUMA Black-Peach Smoothie-Speed Green', 'Fire Orchid-Ultra Blue']"
87,309758_02,12,"['PUMA White-Cherry Tomato', 'Cherry Tomato-PUMA Black']"
88,394508_03,12,['PUMA Black-Intense Lavender']
89,396449_01,9,['Pristine-Prairie Tan']
90,378688_03,12,"['PUMA Black-PUMA White', 'PUMA White-Speed Green', 'PUMA Black-Bold Blue-Future Pink']"
91,394749_01,12,['PUMA White-Warm White']
92,396463_01,0,"['Pelé Yellow-Club Red: out of stock', 'Fresh Mint-Fast Pink', 'Vine-Clementine', 'Cobalt Glaze-PUMA White', 'Club Red-Club Navy: out of stock']"
93,394786_04,12,"['PUMA Black', 'Chocolate']"
94,378437_02,11,"['Vibrant Red', 'Dusty Tan']"
95,378437_01,12,"['Vibrant Red', 'Dusty Tan']"
96,396463_09,0,"['Pelé Yellow-Club Red: out of stock', 'Fresh Mint-Fast Pink', 'Vine-Clementine', 'Cobalt Glaze-PUMA White', 'Club Red-Club Navy: out of stock']"
97,393764_03,12,"['Frosted Ivory-PUMA White', 'PUMA White-Icy Blue-Warm White']"
98,377540_05,11,"['Icy Blue-Ultra Blue', 'Ash Gray-PUMA White-Yellow Burst-Vivid Violet']"
99,393764_02,12,"['Frosted Ivory-PUMA White', 'PUMA White-Icy Blue-Warm White']"
100,378454_01,12,['PUMA Black-Strawberry Burst-Yellow Blaze']
101,376169_10,12,"['Puma Black-Metallic Gold', 'PUMA White-Fire Orchid-PUMA Black', 'PUMA Black-Icy Blue-Speed Green']"
102,377746_01,12,"['PUMA Black-Cool Dark Gray-PUMA Silver', 'Cool Dark Gray-Koral Ice', 'Eucalyptus-Alpine Snow-PUMA Black', 'Alpine Snow-Ultra Blue-Yellow Burst', 'Active Red-Ocean Tropic-Lime Pow: out of stock']"
103,378096_02,19,['Ultra Orange-PUMA Black']
104,377746_03,12,"['PUMA Black-Cool Dark Gray-PUMA Silver', 'Cool Dark Gray-Koral Ice', 'Eucalyptus-Alpine Snow-PUMA Black', 'Alpine Snow-Ultra Blue-Yellow Burst', 'Active Red-Ocean Tropic-Lime Pow: out of stock']"
105,107356_03,13,['Persian Blue-PUMA White-Pro Green']
106,379114_01,11,['Warm White-Bright Melon']
107,378791_01,12,['PUMA Black-Cool Dark Gray-PUMA Silver']
108,377316_07,12,"['Icy Blue-PUMA Silver-Regal Blue', 'Fire Orchid-PUMA Silver-Icy Blue']"
109,377063_04,12,['PUMA Black-Fire Orchid']
110,377855_01,12,"['PUMA Black-Platinum Gray', 'Ash Gray-Alpine Snow-Koral Ice', 'Dark Jasper-PUMA Black-Fire Orchid']"
111,377839_02,12,['Astro Red-Fire Orchid-PUMA Black']
112,378456_05,12,"['PUMA Black-PUMA Silver', 'PUMA Black-Peach Smoothie-Speed Green', 'Fire Orchid-Ultra Blue']"
113,377316_09,12,"['Icy Blue-PUMA Silver-Regal Blue', 'Fire Orchid-PUMA Silver-Icy Blue']"
114,377508_04,12,['PUMA Black-Purple Pop-Yellow Burst']
115,378684_01,12,['PUMA Black-Strawberry Burst-Yellow Blaze']
116,397858_01,12,['Pink Delight-PUMA Green-Gum']
117,396383_02,0,['Eucalyptus-PUMA White: out of stock']
118,377855_06,12,"['PUMA Black-Platinum Gray', 'Ash Gray-Alpine Snow-Koral Ice', 'Dark Jasper-PUMA Black-Fire Orchid']"
119,396463_05,12,"['Pelé Yellow-Club Red: out of stock', 'Fresh Mint-Fast Pink', 'Vine-Clementine', 'Cobalt Glaze-PUMA White', 'Club Red-Club Navy: out of stock']"
120,379288_01,12,['PUMA Black']
121,390932_09,12,"['PUMA White-PUMA Black', 'PUMA Black-PUMA White', 'Warm White-Yellow Burst-Parakeet Green']"
122,307761_01,11,['PUMA Black-Cool Cobalt-Pop Red']
123,307685_04,12,"['Ash Gray-PUMA Black-Koral Ice', 'Neon Sun-Alpine Snow-PUMA Black']"
124,307685_03,12,"['Ash Gray-PUMA Black-Koral Ice', 'Neon Sun-Alpine Snow-PUMA Black']"
125,377942_01,13,['PUMA Black-Cool Dark Gray']
126,377787_03,13,"['Fire Orchid-Ultra Blue-PUMA White', 'PUMA White-Fire Orchid-Ultra Blue-PUMA Black']"
127,377746_07,0,"['PUMA Black-Cool Dark Gray-PUMA Silver', 'Cool Dark Gray-Koral Ice', 'Eucalyptus-Alpine Snow-PUMA Black', 'Alpine Snow-Ultra Blue-Yellow Burst', 'Active Red-Ocean Tropic-Lime Pow: out of stock']"
128,395997_01,0,['Pure Green-Green Illusion: out of stock']
129,378551_04,12,['Koral Ice-Cool Mid Gray-PUMA Black']
130,379115_01,14,['Ghost Pepper-PUMA Black-Pink Glimmer']
131,378435_02,11,['Dusty Tan']
132,376592_05,11,['Fire Orchid-Ultra Blue-PUMA White']
133,377855_08,12,"['PUMA Black-Platinum Gray', 'Ash Gray-Alpine Snow-Koral Ice', 'Dark Jasper-PUMA Black-Fire Orchid']"
134,378688_01,14,"['PUMA Black-PUMA White', 'PUMA White-Speed Green', 'PUMA Black-Bold Blue-Future Pink']"
135,397647_01,9,"['PUMA White-Vapor Gray-Gum', 'PUMA Black-Feather Gray-Gum']"
