,product_code,count_of_sizes,colors
0,FLC0310S2602A,6,"['BROWN_MAROON', 'YELLOW_OLIVE']"
1,FLC015044221A,6,"['LGREY', 'KHAKI', 'BROWN']"
2,FLC0H9026391B,6,"['DCADET_BLUE', 'CAMEL']"
3,FLC051044211A,6,"['VARIGLIA', 'LPINK', 'AIR_BLUE']"
4,FGC0AI024031B,6,['DBLUE']
5,FLC0310S2622A,6,"['WHITE', 'BLACK']"
6,FLC0260S2522A,6,"['WHITE', 'BLACK']"
7,FLC0310S2532A,6,"['BLACK', 'WHITE']"
8,FLC0IA0AR972A,6,"['GREY_GREEN', 'WHITE_LGREY']"
9,FLC0310S2612A,6,"['MAROON', 'BEIGE', 'BLUE']"
10,FLC0AX032671A,6,"['DESERT_ROSE', 'GREY', 'DSKY_BLUE']"
11,FLC0DN0AR952A,6,"['BLACK_PURPLE', 'WHITE_PINK']"
12,FLC0DY0AR942A,6,"['GREY', 'WHITE_PINK']"
13,FLC0DN0AR932A,6,"['PINK_BLUE', 'GREEN_ORANGE']"
14,FLC0260S2552A,6,"['PINK', 'GREEN']"
15,FLC0H40S9652A,6,"['WHITE', 'RUST']"
16,FLC0H40R1972A,6,"['WHITE', 'PINK']"
17,FLC0Z3024031B,6,['TAN']
18,FLC0510R1982A,6,"['WHITE', 'BLUE']"
19,FLC0H40S7612A,6,"['BLUE', 'GREEN']"
20,FLC0H40S9662A,6,"['FUSCHIA', 'WHITE']"
21,FLC0IA0AR992A,6,['WHITE_PURPLE']
22,FLC051016461A,6,['CAMEL']
23,FLC0310T9022A,5,"['LBLUE', 'RUST']"
24,FLC0H40R1952A,6,"['BLACK', 'GREY']"
25,FLC0310T9062A,4,"['GREY', 'BLUE']"
26,FLC0510R1962A,6,"['PURPLE_GREY', 'BEIGE_PURPLE']"
27,FLC0H40S7582A,6,"['NAVY', 'WINE_RED']"
28,FLC0260U2632A,6,"['RED', 'BLUE']"
29,FLC0AI027271A,6,"['DBLUE', 'LBEIGE']"
30,FLC0H40T3272A,6,"['PINK', 'GREY']"
31,FLC0310T9032A,6,"['GREY', 'BLUE']"
32,FLC0H40S7602A,6,"['GREY', 'BLUE']"
33,FLC0AR028921A,6,"['RUST_BROWN', 'BLACK']"
34,FLC0H9025631B,6,"['BLACK', 'DROYAL_BLUE']"
35,FLC0150S0142A,6,['BLUE']
36,FLC0180T0952A,6,['BLUE']
37,FLC0310V3382A,4,['WHITE']
38,FLC0BA025011A,6,"['BLUE', 'OWHITE', 'BLACK']"
39,FLC0H40U6372A,5,"['BLACK', 'WHITE_BLACK']"
40,FLC0H40T0772A,6,['PINK']
41,FLC0180U6602A,6,['WHITE_RED']
42,FLC0H40S7592A,5,"['BLUE', 'GREY']"
43,FLC0H40T0782A,6,['PURPLE']
44,FLC0510T0802A,6,['LPINK']
45,FLC0AI025371B,3,"['BLACK', 'LBEIGE', 'NAVY']"
46,FLC0R9025031A,0,"['BEIGE', 'PINK', 'BLACK']"
47,FLC0DY0T7822A,5,"['PINK', 'LGREY']"
48,FLC0310T9042A,0,"['RUST', 'MUSTARD']"
49,FLC0260U2622A,6,['NAVY']
50,FLC0H40T0762A,5,['PINK']
51,FLC0H40U3342A,6,['LGREY']
52,FLC0R70U3282A,5,['BLACK']
53,FLC051017981A,6,"['ORANGE', 'NAVY']"
54,FLC0510T0572A,4,['PINK']
55,FLC0AI024471A,2,"['LPINK', 'SKY_BLUE', 'GREY']"
56,FLC0510T7112A,4,['LBROWN']
57,FLC0H40U3332A,6,['GREY']
58,FLC0260U2552A,2,"['RED', 'NUDE', 'BLUE']"
