,product_code,n_reviews,quality,star_rating,size,comfort
0,IG9777,152,92.4342,4.8,53.9474,81.4145
1,IG2530,352,82.5284,4.3,50.142,79.6165
2,IE4614,167,92.3653,4.8,52.994,88.9222
3,IF3330,446,87.7242,4.4,51.009,82.6794
4,IG4994,32,92.1875,4.8,56.0345,82.7586
5,IF3393,340,82.4265,4.3,50.1471,79.4853
6,G58184,3009,85.9993,4.6,59.4136,79.7727
7,IG4996,32,92.1875,4.8,56.0345,82.7586
8,IF7677,11277,86.5473,4.7,55.7318,80.167
9,IF6581,1,100,5.0,,
10,IE4613,167,92.3653,4.8,52.994,88.9222
11,HR0066,467,90.6852,4.6,50,84.3148
12,HQ6787,373,92.0241,4.7,53.7534,85.2547
13,IF7676,11277,86.5473,4.7,55.7318,80.167
14,IG2682,167,92.3653,4.8,52.994,88.9222
15,ID6933,158,91.2975,4.6,47.6266,83.8608
16,IE3000,11277,86.5473,4.7,55.7318,80.167
17,IG2372,193,81.9948,4.4,56.3472,76.2953
18,ID4430,326,86.7331,4.4,50.6135,83.0521
19,IF8114,152,92.4342,4.8,53.9474,81.4145
20,IG5320,15,68.3333,3.9,53.3333,78.3333
21,IF7615,11277,86.5473,4.7,55.7318,80.167
22,IE7377,17,92.6471,4.6,48.5294,79.4118
23,FZ6396,28,89.2857,4.2,58.9286,79.4643
24,IF2403,236,86.9703,4.3,52.8602,75.4237
25,IG2972,17,92.6471,4.6,48.5294,79.4118
26,IE7198,100,92.25,4.8,46.25,82.75
27,IF7877,371,87.938,4.6,49.0566,86.2534
28,FX4453,42,85.7143,4.4,48.7805,76.8293
29,IG0344,8,100,5.0,53.125,90.625
30,ID2080,91,81.3187,4.3,50.2778,85.8333
31,IG2368,16,85.9375,4.6,42.1875,82.8125
32,ID9600,157,88.8535,4.4,62.7389,86.9427
33,GZ2528,10,67.5,4.2,50,77.5
34,IE4634,3011,85.992,4.6,59.399,79.7695
35,IF2401,73,90.0685,4.8,45.5479,84.9315
36,HQ9115,267,82.6779,4.2,56.7416,76.2172
37,IG2971,17,92.6471,4.6,48.5294,79.4118
38,HP6651,112,88.6161,4.6,54.9107,85.0446
39,ID9676,467,90.6852,4.6,50,84.3148
40,GW4569,133,85.7143,4.7,50.3759,80.6391
41,ID6715,7,82.1429,4.0,53.5714,85.7143
42,GZ2133,267,82.6779,4.2,56.7416,76.2172
43,HQ9918,291,79.811,4.1,68.9003,70.0172
44,GV8920,50,88.5,4.5,46,82.5
45,IG5876,289,93.7716,4.8,51.6436,90.8304
46,IF8170,7,96.4286,5.0,53.5714,92.8571
47,GX9835,6105,90.7002,4.7,54.7288,90.9121
48,IG0310,65,87.3077,4.6,50.7692,84.6154
49,HQ8392,127,71.4567,3.7,49.6063,63.189
50,HP7496,50,88.5,4.5,46,82.5
51,GY4189,267,82.6779,4.2,56.7416,76.2172
52,HQ1049,180,87.6389,4.4,46.7877,79.6089
53,IF6603,134,90.4851,4.6,49.0672,85.4478
54,ID6946,158,91.2975,4.6,47.6266,83.8608
55,GZ9257,5485,86.2443,4.6,52.1176,83.0504
56,GZ9260,5485,86.2443,4.6,52.1176,83.0504
57,IE7657,10,92.5,4.0,70,72.5
58,HQ8600,551,89.8367,4.6,49.4545,85.6364
59,IG0769,7,67.8571,4.7,50,75
60,GW5699,3732,85.966,4.4,59.8243,78.8291
61,GZ3779,8374,83.3114,4.5,44.2718,77.3416
62,GZ2528,10,67.5,4.2,50,77.5
63,ID4280,167,92.3653,4.8,52.994,88.9222
64,IG5877,289,93.7716,4.8,51.6436,90.8304
65,ID1555,145,78.6207,4.0,49.6528,64.4097
66,IG2260,498,92.9719,4.7,47.8414,87.3996
67,FY2782,1131,91.6004,4.8,55.2748,87.8546
68,GY3528,176,88.7784,4.6,46.733,83.9489
69,GZ0039,16,81.25,3.9,35.9375,68.75
70,IE1775,551,89.8367,4.6,49.4545,85.6364
71,HQ1059,2,62.5,4.0,37.5,87.5
72,IF4941,511,87.6712,4.6,46.184,84.589
73,IE9535,722,89.162,4.7,55.3125,87.9861
74,HQ2170,7,96.4286,5.0,53.5714,92.8571
75,HQ9916,298,80.1174,4.1,69.0436,70.0503
76,HQ6347,,,,,
77,GZ0009,41,76.2195,3.8,39.6341,56.0976
78,FV4720,68,85.2941,4.3,54.4118,75.7353
79,HQ9917,298,80.1174,4.1,69.0436,70.0503
80,IG5893,289,93.7716,4.8,51.6436,90.8304
81,IG5268,41,92.0732,4.5,48.7805,79.2683
82,IF6582,1,100,5.0,,
83,IF4942,68,85.2941,4.3,54.4118,75.7353
84,GZ2174,10,95,4.9,42.5,95
85,HP2201,373,92.0241,4.7,53.7534,85.2547
86,HP9929,3,100,5.0,50,41.6667
87,HQ9036,39,94.2308,4.7,51.2821,78.8462
88,GZ9259,5485,86.2443,4.6,52.1176,83.0504
89,IG5467,9,66.6667,3.8,50,77.7778
90,HP9477,551,89.8367,4.6,49.4545,85.6364
91,GZ2171,9,94.4444,4.3,61.1111,86.1111
92,HQ6345,551,89.8367,4.6,49.4545,85.6364
93,HR0277,52,85.5769,4.4,52.4038,77.4038
94,IG3043,11,90.9091,4.7,50,86.3636
95,HP7494,13,84.6154,4.5,57.6923,82.6923
96,ID1747,289,93.7716,4.8,51.6436,90.8304
97,ID9854,142,86.4437,4.5,49.2958,82.2183
98,IG3204,10,92.5,4.0,70,72.5
99,GY1549,19,96.0526,4.7,46.0526,89.4737
100,IG5266,41,92.0732,4.5,48.7805,79.2683
101,IF7610,11281,86.5501,4.7,55.7298,80.1674
102,IF4863,184,87.0924,4.4,45.9239,75.5435
103,IG8337,,,,,
104,IE1776,551,89.8367,4.6,49.4545,85.6364
105,HP7498,50,88.5,4.5,46,82.5
106,HP8706,99,88.1313,4.4,51.0101,77.5253
107,IF2448,100,92.25,4.8,46.25,82.75
108,HQ8599,551,89.8367,4.6,49.4545,85.6364
109,IG7964,551,89.8367,4.6,49.4545,85.6364
110,GV6916,6,87.5,4.3,41.6667,95.8333
111,IG0664,9,91.6667,5.0,52.7778,91.6667
112,HQ4312,8,96.875,4.5,56.25,93.75
113,ID4263,15,68.3333,3.9,53.3333,78.3333
114,HQ5873,2049,90.1659,4.7,50.061,87.3779
115,HP9549,121,94.2149,4.8,50.6198,86.5702
116,HQ6179,,,,,
117,IE1757,551,89.8367,4.6,49.4545,85.6364
118,HQ6785,373,92.0241,4.7,53.7534,85.2547
119,ID6898,7,96.4286,5.0,53.5714,92.8571
120,ID1790,75,94,4.8,53.6667,93.3333
121,IE7022,39,94.2308,4.7,51.2821,78.8462
122,HQ7232,158,91.2975,4.6,47.6266,83.8608
123,GV9427,13,78.8462,3.8,44.2308,63.4615
124,IE8155,1902,89.235,4.7,49.632,86.041
125,GX9271,284,82.5704,4.4,49.4718,84.5951
126,IG0747,551,89.8367,4.6,49.4545,85.6364
127,ID7493,,,,,
128,HQ4404,3011,85.992,4.6,59.399,79.7695
129,HP2815,10,87.5,4.9,50,82.5
130,IE1692,551,89.8367,4.6,49.4545,85.6364
131,HP6880,219,85.1598,4.5,48.0594,81.621
132,IF9905,65,87.3077,4.6,50.7692,84.6154
133,IG5336,77,88.961,4.5,50.3247,82.4675
134,HQ6713,32,84.375,4.3,43.75,76.5625
135,HP7648,284,82.5704,4.4,49.4718,84.5951
136,GX6670,1586,91.9294,4.7,50.5549,89.0932
137,IE9325,1,100,5.0,50,100
138,GY9904,467,90.6852,4.6,50,84.3148
139,HQ9119,8,96.875,4.5,56.25,93.75
140,IG2374,193,81.9948,4.4,56.3472,76.2953
141,ID9675,467,90.6852,4.6,50,84.3148
142,HQ4245,115,82.6087,4.1,49.1304,72.1739
143,ID4122,11,90.9091,4.7,50,86.3636
144,ID4122,11,90.9091,4.7,50,86.3636
145,HQ1443,1,100,5.0,50,100
146,IE6631,38,78.9474,4.4,51.9737,75.6579
147,H03662,11,86.3636,4.4,43.1818,86.3636
148,ID6928,158,91.2975,4.6,47.6266,83.8608
149,IE7689,32,91.4062,4.8,47.6562,74.2188
150,HP3012,3739,85.9722,4.4,59.8059,78.8487
151,GX2613,49,95.4082,4.8,47.449,89.2857
152,IF3197,22,90.9091,4.6,51.1364,85.2273
153,HP5972,193,81.9948,4.4,56.3472,76.2953
154,HP5970,193,81.9948,4.4,56.3472,76.2953
155,HQ6041,14,96.4286,4.9,53.5714,89.2857
