,product_code,n_reviews,quality,star_rating,Size,comfort
0,DD1503-101,617.0,44.66,4.8,49.0,78.0
1,DX9176-101,147.0,50.78,4.5,61.0,75.0
2,DH3158-107,199.0,46.67,4.6,59.0,78.0
3,DZ7736-002,2.0,,5,,
4,DZ2628-102,70.0,54.62,4.6,43.0,78.0
5,DV3950-601,303.0,49.51,4.7,45.0,89.0
6,DZ2537-603,34.0,63.18,4.4,42.0,74.0
7,CZ1055-100,707.0,38.94,4.6,47.0,66.0
8,DC4769-102,168.0,40.2,4.6,54.0,66.0
9,DV3854-100,371.0,49.66,4.7,50.0,89.0
10,FV3635-171,0.0,,0,,
11,DM7590-100,293.0,47.4,4.6,59.0,75.0
12,DH3161-100,448.0,37.05,4.5,36.0,68.0
13,DR2670-006,188.0,47.2,4.5,29.0,86.0
14,DR2660-001,360.0,49.44,4.4,50.0,85.0
15,FD3148-001,1.0,50.0,1,50.0,50.0
16,CD5432-101,809.0,37.08,4.5,37.0,73.0
17,FB2208-100,13.0,,4,,
18,FD2292-100,28.0,71.0,4.6,45.0,93.0
19,FB2348-700,24.0,79.61,4.5,57.0,86.0
20,DR9761-800,71.0,52.24,4.3,48.0,89.0
21,FQ8886-100,1.0,83.33,5,50.0,100.0
22,DZ2794-700,34.0,55.08,4.4,40.0,87.0
23,FD2196-100,31.0,78.29,4.5,58.0,93.0
24,DD9682-102,21.0,46.52,4.4,34.0,77.0
25,FD0736-101,21.0,59.37,5,45.0,95.0
26,FB9927-200,56.0,71.02,4.8,44.0,78.0
27,FV3634-181,0.0,,0,,
28,FB8502-100,24.0,79.28,4.8,46.0,96.0
29,FB8455-001,2.0,75.0,5,50.0,75.0
30,FQ8876-618,6.0,69.67,5,50.0,59.0
31,DM9922-002,126.0,44.78,4.7,40.0,88.0
32,DD1869-103,518.0,47.89,4.8,52.0,88.0
33,DO7626-001,35.0,44.52,4,50.0,75.0
34,DV4023-001,136.0,50.61,4.7,47.0,96.0
35,DV1238-001,227.0,49.04,4.5,46.0,91.0
36,DX6482-002,33.0,70.92,4.6,52.0,85.0
37,FB7147-001,0.0,,0,,
38,FB7156-001,0.0,,0,,
39,DM0113-102,216.0,34.72,4.3,48.0,52.0
40,DH9523-100,622.0,44.55,4.7,39.0,90.0
41,DJ6159-002,315.0,47.77,4.7,44.0,92.0
42,FB2197-600,28.0,78.14,4.6,41.0,97.0
43,DD8959-100,1855.0,49.47,4.8,66.0,81.0
44,CI0919-100,899.0,71.0,4.8,54.0,88.0
45,DJ7929-001,143.0,48.63,4.5,45.0,89.0
46,DN3559-003,152.0,41.61,4.4,36.0,77.0
47,DJ0292-101,333.0,,4.5,,
48,DN1791-100,57.0,45.01,4.5,37.0,84.0
49,DR2694-500,104.0,46.29,4.6,48.0,88.0
50,DR2689-601,73.0,54.94,4.6,51.0,96.0
51,FB2065-500,22.0,66.79,4.1,38.0,76.0
52,DH0625-500,71.0,56.25,4.8,47.0,95.0
53,DX4816-200,73.0,53.33,4.5,37.0,86.0
54,DQ8031-201,108.0,49.7,4.3,46.0,92.0
55,FB7154-001,2.0,50.0,3.5,50.0,50.0
56,DM0824-003,46.0,38.57,4.3,44.0,63.0
57,FQ8895-100,2.0,83.33,5,50.0,100.0
58,FV0952-100,1.0,50.0,1,50.0,50.0
59,FB8251-100,26.0,79.44,4.6,58.0,88.0
60,FJ6041-600,8.0,60.67,3.9,25.0,82.0
61,560845F-001,316.0,41.88,4.8,50.0,75.0
62,560846F-102,1613.0,,4.8,,
63,FD1448-664,9.0,68.89,4.9,56.0,84.0
64,DC0774-080,411.0,47.08,4.8,52.0,80.0
65,DH7004-600,80.0,50.33,4.7,62.0,74.0
66,BQ6472-414,988.0,44.65,4.9,50.0,80.0
67,DD1503-118,617.0,44.66,4.8,49.0,78.0
68,DN3253-061,60.0,48.56,4.3,47.0,72.0
69,CW6536-600,106.0,43.94,4.4,35.0,77.0
70,511417-136,82.0,47.17,4.7,42.0,80.0
71,DV0426-200,29.0,55.64,4.8,45.0,84.0
