,product_code,n_reviews,quality,star_rating,size,comfort
0,399332_01,6,50.0,4.5,,
1,399332_03,6,50.0,4.5,,
2,399332_02,6,50.0,4.5,,
3,398949_01,0,,0.0,,
4,398949_02,0,,0.0,,
5,397113_01,0,,0.0,,
6,397112_01,1,100.0,5.0,,
7,397112_02,1,100.0,5.0,,
8,381410_01,160,,4.2,,
9,369155_04,162,80.9,4.1,,
10,381983_01,55,85.7,4.4,,
11,369155_01,162,80.9,4.1,,
12,373438_01,104,92.9,4.7,,
13,384209_01,30,66.7,3.9,,
14,381410_02,160,82.3,4.2,,
15,366408_01,36,73.5,4.1,,
16,397089_01,0,,0.0,,
17,381410_10,160,82.3,4.2,,
18,373438_02,104,92.9,4.7,,
19,392730_01,9,75.0,4.1,,
20,399262_02,49,87.5,4.6,,
21,380784_01,9,100.0,4.9,,
22,392710_01,0,,0.0,,
23,393772_05,3,100.0,4.7,,
24,396352_02,0,,0.0,,
25,366408_02,36,73.5,4.1,,
26,381410_90,160,82.3,4.2,,
27,393772_02,3,,4.7,,
28,379140_01,1,100.0,5.0,,
29,381983_02,55,85.7,4.4,,
30,399262_01,49,87.5,4.6,,
31,392886_01,17,75.0,3.8,,
32,397090_01,0,,0.0,,
33,396704_02,0,,0.0,,
34,385248_01,1,100.0,5.0,,
35,396172_01,0,,0.0,,
36,393065_01,0,,0.0,,
37,393802_09,6,75.0,4.5,,
38,377540_04,2,100.0,5.0,,
39,392730_08,9,75.0,4.1,,
40,397643_02,2,100.0,5.0,,
41,394786_01,0,,0.0,,
42,392086_01,0,,0.0,,
43,383112_04,21,63.2,4.0,,
44,378456_01,0,,0.0,,
45,394755_02,0,,0.0,,
46,389853_06,1,0.0,1.0,,
47,392730_02,9,75.0,4.1,,
48,389454_04,14,90.0,4.2,,
49,371008_27,26,100.0,5.0,,
50,376262_21,13,91.7,4.6,,
51,377746_04,1,100.0,3.0,,
52,378318_02,2,100.0,5.0,,
53,309720_04,0,,0.0,,
54,392730_04,9,75.0,4.1,,
55,379886_01,0,,0.0,,
56,377758_09,16,100.0,4.5,,
57,376855_22,9,88.9,4.2,,
58,392085_01,3,66.7,3.7,,
59,393301_02,0,,0.0,,
60,393065_02,0,,0.0,,
61,390932_02,0,,0.0,,
62,393802_01,6,,4.5,,
63,377758_01,16,100.0,4.5,,
64,107565_03,0,,0.0,,
65,397647_03,18,90.9,4.4,,
66,376855_17,9,88.9,4.2,,
67,384209_02,30,66.7,3.9,,
68,107507_03,2,0.0,3.0,,
69,389454_05,14,90.0,4.2,,
70,393449_02,0,,0.0,,
71,396463_07,4,66.7,4.3,,
72,378482_02,1,,5.0,,
73,393078_01,1,0.0,4.0,,
74,377746_05,1,100.0,3.0,,
75,309758_01,0,,0.0,,
76,395461_11,7,100.0,5.0,,
77,378823_01,1,100.0,5.0,,
78,393326_01,4,25.0,3.0,,
79,390932_01,0,,0.0,,
80,307826_02,0,,0.0,,
81,307826_01,0,,0.0,,
82,378688_02,0,,0.0,,
83,378906_01,1,,5.0,,
84,393314_02,1,100.0,3.0,,
85,378482_01,1,,5.0,,
86,378456_03,0,,0.0,,
87,309758_02,0,,0.0,,
88,394508_03,0,,0.0,,
89,396449_01,7,80.0,4.6,,
90,378688_03,0,,0.0,,
91,394749_01,0,,0.0,,
92,396463_01,4,66.7,4.3,,
93,394786_04,0,,0.0,,
94,378437_02,0,,0.0,,
95,378437_01,0,,0.0,,
96,396463_09,4,66.7,4.3,,
97,393764_03,1,,4.0,,
98,377540_05,2,100.0,5.0,,
99,393764_02,1,,4.0,,
100,378454_01,1,100.0,5.0,,
101,376169_10,6,80.0,4.5,,
102,377746_01,1,100.0,3.0,,
103,378096_02,2,0.0,3.5,,
104,377746_03,1,100.0,3.0,,
105,107356_03,8,12.5,1.6,,
106,379114_01,1,0.0,2.0,,
107,378791_01,0,,0.0,,
108,377316_07,4,50.0,4.0,,
109,377063_04,0,,0.0,,
110,377855_01,3,100.0,5.0,,
111,377839_02,0,,0.0,,
112,378456_05,0,,0.0,,
113,377316_09,4,50.0,4.0,,
114,377508_04,1,100.0,5.0,,
115,378684_01,3,100.0,3.0,,
116,397858_01,21,90.0,4.8,,
117,396383_02,0,,0.0,,
118,377855_06,3,100.0,5.0,,
119,396463_05,4,66.7,4.3,,
120,379288_01,0,,0.0,,
121,390932_09,0,,0.0,,
122,307761_01,1,,5.0,,
123,307685_04,1,0.0,4.0,,
124,307685_03,1,,4.0,,
125,377942_01,1,,5.0,,
126,377787_03,3,100.0,5.0,,
127,377746_07,1,,3.0,,
128,395997_01,0,,0.0,,
129,378551_04,0,,0.0,,
130,379115_01,1,100.0,5.0,,
131,378435_02,0,,0.0,,
132,376592_05,1,0.0,2.0,,
133,377855_08,3,100.0,5.0,,
134,378688_01,0,,0.0,,
135,397647_01,18,90.9,4.4,,
136,379040_01,4,100.0,4.8,,
137,396463_02,4,66.7,4.3,,
138,376855_25,9,88.9,4.2,,
139,383157_02,15,86.7,4.4,,
140,377787_02,3,100.0,5.0,,
141,376169_01,6,,4.5,,
142,376311_04,3,33.3,3.7,,
143,376946_08,1,,5.0,,
144,379082_05,0,,0.0,,
145,379082_04,0,,0.0,,
146,376311_05,3,33.3,3.7,,
147,379082_03,0,,0.0,,
148,379082_02,0,,0.0,,
149,379082_01,0,,0.0,,
150,379082_06,0,,0.0,,
151,396444_01,1,100.0,5.0,,
152,393084_01,0,,0.0,,
153,397643_07,2,100.0,5.0,,
154,379181_01,2,100.0,5.0,,
155,378469_01,3,50.0,3.7,,
156,310565_01,0,,0.0,,
157,394175_01,0,,0.0,,
158,376169_12,6,80.0,4.5,,
159,394174_01,0,,0.0,,
160,387468_06,0,,0.0,,
161,377892_10,17,93.3,4.8,,
162,195027_02,88,,4.5,,
163,382829_01,24,62.5,4.0,,
164,392699_01,3,100.0,5.0,,
165,396073_01,2,50.0,3.0,,
166,394750_02,6,66.7,4.3,,
167,382829_04,24,62.5,4.0,,
168,396672_01,0,,0.0,,
169,392514_01,3,50.0,2.3,,
170,191667_02,50,93.8,4.8,,
171,381410_85,160,82.3,4.2,,
172,389082_01,12,72.7,3.5,,
173,393771_01,0,,0.0,,
174,393201_03,1,100.0,5.0,,
175,393085_01,2,100.0,5.0,,
176,393031_02,0,,0.0,,
177,393031_01,0,,0.0,,
178,393343_01,5,80.0,4.0,,
179,393201_02,1,100.0,5.0,,
180,389876_02,4,,5.0,,
181,387150_01,1,,4.0,,
182,393987_01,0,,0.0,,
183,107507_01,2,0.0,3.0,,
184,107262_02,0,,0.0,,
