,product_code,n_reviews,quality,star_rating,size,comfort
0,FLC0310S2602A,,,,,
1,FLC015044221A,,,,,
2,FLC0H9026391B,,,,,
3,FLC051044211A,,,,,
4,FGC0AI024031B,,,,,
5,FLC0310S2622A,,,,,
6,FLC0260S2522A,,,,,
7,FLC0310S2532A,,,,,
8,FLC0IA0AR972A,,,,,
9,FLC0310S2612A,,,,,
10,FLC0AX032671A,,,,,
11,FLC0DN0AR952A,,,,,
12,FLC0DY0AR942A,,,,,
13,FLC0DN0AR932A,,,,,
14,FLC0260S2552A,,,,,
15,FLC0H40S9652A,,,,,
16,FLC0H40R1972A,,,,,
17,FLC0Z3024031B,,,,,
18,FLC0510R1982A,,,,,
19,FLC0H40S7612A,,,,,
20,FLC0H40S9662A,,,,,
21,FLC0IA0AR992A,,,,,
22,FLC051016461A,,,,,
23,FLC0310T9022A,,,,,
24,FLC0H40R1952A,,,,,
25,FLC0310T9062A,,,,,
26,FLC0510R1962A,,,,,
27,FLC0H40S7582A,,,,,
28,FLC0260U2632A,,,,,
29,FLC0AI027271A,,,,,
30,FLC0H40T3272A,,,,,
31,FLC0310T9032A,,,,,
32,FLC0H40S7602A,,,,,
33,FLC0AR028921A,,,,,
34,FLC0H9025631B,,,,,
35,FLC0150S0142A,,,,,
36,FLC0180T0952A,,,,,
37,FLC0310V3382A,,,,,
38,FLC0BA025011A,,,,,
39,FLC0H40U6372A,,,,,
40,FLC0H40T0772A,,,,,
41,FLC0180U6602A,,,,,
42,FLC0H40S7592A,,,,,
43,FLC0H40T0782A,,,,,
44,FLC0510T0802A,,,,,
45,FLC0AI025371B,,,,,
46,FLC0R9025031A,,,,,
47,FLC0DY0T7822A,,,,,
48,FLC0310T9042A,,,,,
49,FLC0260U2622A,,,,,
50,FLC0H40T0762A,,,,,
51,FLC0H40U3342A,,,,,
52,FLC0R70U3282A,,,,,
53,FLC051017981A,,,,,
54,FLC0510T0572A,,,,,
55,FLC0AI024471A,,,,,
56,FLC0510T7112A,,,,,
57,FLC0H40U3332A,,,,,
58,FLC0260U2552A,,,,,
59,FLC0BA025051A,,,,,
60,FLC0510T0792A,,,,,
61,FLC0Z3022441A,,,,,
62,FLC0Z3028911A,,,,,
63,FLC0260V3482A,,,,,
64,FLC0180U6582A,,,,,
65,FLC0260U2592A,,,,,
66,FLC0G2025001A,,,,,
67,FLC0H40T0752A,,,,,
68,FLC0180T0962A,,,,,
69,FLC0B3024821B,,,,,
70,FLC0180V3482A,,,,,
71,FLC0Z3022431A,,,,,
72,FGC026041122A,,,,,
73,FGC0Y9039132A,,,,,
74,FGC0Z7044742A,,,,,
75,FGC0Z7041612A,,,,,
76,FGC0Z7044752A,,,,,
77,FGC0Y9040822A,,,,,
78,FGC0Z7041642A,,,,,
79,FGC0L4033001A,,,,,
80,FGC026041142A,,,,,
81,FGC0Y9039142A,,,,,
82,FGC0Z7040072A,,,,,
83,FGC0C8012921B,,,,,
84,FGC0Y9041192A,,,,,
85,FGC0DN0AR892A,,,,,
86,FGC0DY0AR872A,,,,,
87,FGC0H40S9622A,,,,,
88,FGC0DN0AR922A,,,,,
89,FGC0DN0AR882A,,,,,
90,FGC0H40S7552A,,,,,
91,FGC0H40S9632A,,,,,
92,FGC0Y9040932A,,,,,
93,FGC0H40S7562A,,,,,
94,FGC0H40S9642A,,,,,
95,FGC0Z3024211C,,,,,
96,FGC0510R2012A,,,,,
97,FGC0DN0AR912A,,,,,
98,FGC0510R2022A,,,,,
99,FGC0BB033761A,,,,,
100,FGC0H40S7542A,,,,,
101,FGC0H40S7572A,,,,,
102,FGC0510R2032A,,,,,
103,FGC0EM0S0152A,,,,,
104,FGC0H40T3262A,,,,,
105,FGC0180T8762A,,,,,
106,FGC0510R1992A,,,,,
107,FGC0180T8752A,,,,,
108,FGC0B3025091A,,,,,
109,FGC051028671A,,,,,
110,FGC0510S0112A,,,,,
111,FGC0V2025091A,,,,,
112,FGC0DY0S0072A,,,,,
113,FGC0510R2062A,,,,,
114,FGC0180V3512A,,,,,
115,FGC0G2030171A,,,,,
116,FGC0H40U8442A,,,,,
117,FGC089024571A,,,,,
118,FGC0H40U8012A,,,,,
119,FGC0150S0032A,,,,,
120,FGC0Z7041542A,,,,,
121,FGC028030281A,,,,,
122,FGC031039112A,,,,,
123,FGC0Z7041632A,,,,,
124,FGC0150S0042A,,,,,
125,FGC031039122A,,,,,
126,FGC0L4037411A,,,,,
127,FGC0H40U8002A,,,,,
128,FGC0AR025091A,,,,,
129,FGC051019771A,,,,,
130,FGC0AJ024991A,,,,,
131,FGC0510S0102A,,,,,
132,FGC0H40U8422A,,,,,
133,FGC0510R2002A,,,,,
134,FGC0510T7812A,,,,,
135,FGC0510T7052A,,,,,
136,FGC0510R2042A,,,,,
137,FGC0Y9039162A,,,,,
138,FGC0AR025131A,,,,,
139,FGC051019021A,,,,,
140,FGC0Y9040922A,,,,,
141,FGC0Y9040392A,,,,,
142,FGC0180T0592A,,,,,
143,FGC0GF0R6821Z,,,,,
144,FGC0Z7040132A,,,,,
145,FGC0Y9040372A,,,,,
146,FGC0Y9040762A,,,,,
147,FGC0Y9040732A,,,,,
148,FGC0Y9040752A,,,,,
149,FGC0Y9040902A,,,,,
150,FGC031039102A,,,,,
151,FGC0Z7041592A,,,,,
152,FGC0H40W7082A,,,,,
153,FGC0DN032122A,,,,,
154,FGC0Y9040772A,,,,,
155,FGC0Z7040082A,,,,,
156,FGC0Z7045232A,,,,,
157,FGC0H4020401A,,,,,
158,FGC0C30V0672A,,,,,
159,FGC0H40U8432A,,,,,
160,FGC0510S0062A,,,,,
161,FGC0260U3112A,,,,,
162,FGC0Y9032762A,,,,,
163,FGC0Y9032772A,,,,,
164,FGC0Y9039172A,,,,,
165,FGC0Z7039792A,,,,,
166,FGC0Z7041622A,,,,,
167,FGC0260U2742A,,,,,
168,FGC0Y9032092A,,,,,
169,FGC0Y9040952A,,,,,
170,FGC0DY0T7782A,,,,,
171,FGC0510R2052A,,,,,
172,FGC0Y9037612A,,,,,
173,FGC0Z7041562A,,,,,
174,FGC0EM0S0162A,,,,,
175,FGC0Z7040102A,,,,,
176,FGC0150S0122A,,,,,
177,FGC0DY0S0082A,,,,,
178,FGC0L4033131A,,,,,
179,FGC0L4037301A,,,,,
180,FGC0Y9032792A,,,,,
181,FGC0Z7041652A,,,,,
