,count_of_sizes,colors,color,product_code
0,"['40', '41', '42', '43', '44', '45']","['BLUE', 'GREY']",['BLUE'],['FGC0H40S7542A']
1,"['40', '41', '42', '43', '44', '45']","['BLACK', 'GREY']",['BLACK'],['FGC0H40S7572A']
2,"['40', '41', '42', '43', '44', '45']","['GREY', 'BEIGE']",['GREY'],['FGC0510R2032A']
3,"['40', '41', '42', '43', '44', '45']",['BLACK_LGREY'],['BLACK/LGREY'],['FGC0EM0S0152A']
4,"['40', '41', '42', '43', '44', '45']","['OLIVE', 'NAVY']",['OLIVE'],['FGC0H40T3262A']
5,"['40', '41', '42', '43', '44', '45']",['BLACK_GREY'],['BLACK/GREY'],['FGC0180T8762A']
6,"['40', '41', '42', '43', '44', '45']","['BLACK', 'WHITE']",['BLACK'],['FGC0510R1992A']
7,"['40', '41', '42', '43', '44', '45']",['BLUE_WHITE'],['BLUE/WHITE'],['FGC0180T8752A']
8,"['39', '40', '41', '42', '44']","['DOVE_WHITE', 'WHITE']",['DOVE WHITE'],['FGC0B3025091A']
9,"['42', '43', '44', '45']","['DGREY', 'NAVY', 'BLACK']",['DGREY'],['FGC051028671A']
10,"['41', '42', '43', '44', '45']",['NAVY'],['NAVY'],['FGC0510S0112A']
11,"['39', '40', '41', '43', '44', '45']",['NAVY'],['NAVY'],['FGC0V2025091A']
12,"['41', '42', '43', '44', '45']",['SAND'],['SAND'],['FGC0DY0S0072A']
13,"['40', '41', '42', '43', '44', '45']","['LGREY', 'DGREY']",['LGREY'],['FGC0510R2062A']
14,"['40', '41', '42', '43', '44', '45']",['BLUE'],['BLUE'],['FGC0180V3512A']
15,[],"['CAMEL', 'DNAVY']",['CAMEL'],['FGC0G2030171A']
16,"['40', '42']","['GREY', 'BLACK']",['GREY'],['FGC0H40U8442A']
17,"['39', '40', '41', '42', '43', '44']",['DNAVY'],['DNAVY'],['FGC089024571A']
18,"['40', '41', '42', '43', '44', '45']",['WHITE'],['WHITE'],['FGC0H40U8012A']
