,count_of_sizes,colors,color,product_code,reviews,star_rating,Size,comfort,quality
0,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '10', '10.5', '11', '11.5', '12', '13', '14', '15']","['Core Black / Core Black / Grey Six', 'Linen Green F22 / Grey Three / Impact Orange F22', 'Wonder Steel F22 / Grey Three / Legend Ink', 'Core Black / Grey Six / Carbon', 'Wonder Steel F22 / Grey Three / Legend Ink', 'Wonder Taupe S23 / Earth Strata S23 / Core Black', 'Silver Violet S23 / Blue Dawn S23 / Core Black', 'Coral Fusion S23 / Coral Fusion S23 / Wonder White F21', 'Core Black / Core Black / Grey Six', 'Core Black / Wonder Beige F23 / Semi Impact Orange F22', 'Wonder Silver F23 / Wonder Silver F23 / Lucid Lemon F23', 'Sand Strata S23 / Sand Strata S23 / Wonder Beige F23']",[],['Product code: HQ8398'],['Reviews (259)'],['4.6'],['48.4556'],['86.8726'],['88.5135']
1,"['5', '6', '6.5', '7', '14']","['Cream White / Dark Brown / Sand Strata', 'Grey Four / Better Scarlet S23 / Core Black', 'Core Black / Cloud White / Collegiate Gold', 'Grey Three / Core Black / Grey Five', 'Core Black / Core Black / Bliss', 'Feather Grey / Feather Grey / Acid Orange S21', 'Metal Grey / Feather Grey / Sand', 'Grey Three / Grey Three / Grey Five', 'Cloud White / Cloud White / Grey One', 'Cloud White / Cloud White / Vivid Red S21', 'Trace Grey / Cloud White / Core Black', 'Magic Lime S22 / Cloud White / Core Black', 'Red / Royal Blue / Off White', 'Vivid Red S21 / Cloud White / Gum', 'Legend Ink / Cloud White / Gum', 'Better Scarlet / Team Victory Red / Core Black', 'Core Black / Core Black / Cloud White', 'Cloud White / Cloud White / Core Black', 'Core Black / Core Black / Core Black', 'Core Black / Core Black / Gum', 'Core Black / Cloud White / Grey Five', 'Cloud White / Cloud White / Cloud White', 'Cloud White / Cloud White / Gum', 'Cloud White / Core Black / Grey Three', 'Mineral Green / Mineral Green / Cloud White', 'Collegiate Gold / Impact Yellow F22 / Core Black', 'Shadow Navy / Cloud White / Collegiate Burgundy', 'Shadow Navy / White Tint / Glory Red', 'Core Black / Semi Lucid Blue / Glory Red', 'Core Black / Active Teal / Cloud White', 'Shadow Navy / Grey Two / Core Black', 'Cloud White / Solar Orange / Core Black', 'Cloud White / Off White / Solar Red', 'Cloud White / Semi Lucid Blue / Core Black', 'Core Black / Semi Lucid Blue S23 / Cloud White', 'Crystal White / Cloud White / Better Scarlet', 'Cloud White / Core Black / Bright Red', 'Core Black / Royal Blue / Cloud White', 'Grey Three / Core Black / Cloud White', 'Core Black / Core Black / Cloud White', 'Focus Olive / Core Black / Shadow Olive', 'Core Black / Carbon / Grey Five']",[],['Product code: GX9524'],['Reviews (5510)'],['4.6'],['52.1125'],['83.0638'],['86.2477']
2,"['5', '5.5', '6', '7', '7.5', '8', '8.5', '9']","['Core Black / Core Black / Supplier Colour', 'Pantone / Shadow Green / Supplier Colour', 'Craft Orange / Preloved Red / Supplier Colour', 'Sand Strata / Magic Beige / Supplier Colour', 'Off White / Cream White / Supplier Colour', 'Bronze Strata / Preloved Brown / Bronze Strata']",[],['Product code: FZ6439'],['Reviews (202)'],['4.5'],['46.9059'],['81.6832'],['88.8614']
3,"['7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13']","['Core Black / Cloud White / Cloud White', 'Core Black / Core Black / Cloud White', 'Grey Five / Cloud White / Halo Blue S21', 'Core Black / Carbon / Wonder White F21', 'Grey Three / Bronze Strata / Core Black', 'Solar Gold / Cloud White / Impact Orange', 'Core Black / Cloud White / Cloud White', 'Core Black / Carbon / Pulse Lime S22']",[],['Product code: FW2824'],['Reviews (195)'],['4.6'],['48.3333'],['81.4103'],['85.3846']
4,"['5', '6', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13']","['Shadow Navy S22 / Crystal White / Chalk White', 'Wild Sepia S21 / Crystal White / Chalk White', 'Off White / Chalk White / Wonder White F21', 'Preloved Blue S23 / Crystal White / Chalk White', 'Earth Strata S23 / Crystal White / Chalk White']",[],['Product code: GY2535'],['Reviews (3)'],['5.0'],['66.6667'],['100'],['91.6667']
5,"['M 5 / W 6', 'M 5.5 / W 6.5', 'M 6 / W 7', 'M 6.5 / W 7.5', 'M 7 / W 8', 'M 7.5 / W 8.5', 'M 8 / W 9', 'M 8.5 / W 9.5', 'M 9 / W 10', 'M 9.5 / W 10.5', 'M 10.5 / W 11.5']","['Cloud White / Core Black / Collegiate Purple', 'Team Orange / Cloud White / Team Light Blue', 'Off White / Sesame / Off White', 'Core Black / Cloud White / Collegiate Purple']",[],['Product code: IF2448'],['Reviews (100)'],['4.8'],['46.25'],['82.75'],['92.25']
6,"['7', '7.5', '8', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13']","['Silver Pebble / Aluminium / Purple Rush', 'Cloud White / Crystal White / Cloud White', 'Core Black / Grey Five / Core Black', 'Chalk White / Core Black / Off White', 'Grey Three / Grey Five / Grey Three', 'Carbon / Off White / Screaming Orange S21', 'Core Black / Grey Five / Cloud White', 'Cloud White / Carbon / Vivid Red', 'Aluminium / Grey Four / Solar Gold', 'Cloud White / Grey Two / Silver Green', 'Cloud White / Grey Two / Screaming Orange S21', 'Grey Two / Carbon / Grey Four', 'Cloud White / Core Black / Screaming Orange', 'Olive Strata S23 / Shadow Olive S22 / Silver Pebble S23', 'Dash Grey / Core Black / Silver Metallic', 'Cloud White / Core Black / Better Scarlet S23', 'Core Black / Cloud White / Pulse Lime S22']",[],['Product code: HP3129'],['Reviews (284)'],['4.7'],['55.8979'],['86.7958'],['88.2923']
7,"['5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13']","['Core Black / Cloud White / Gold Metallic', 'Crystal White / Semi Lucid Blue / Gold Metallic', 'Grey Four / Lucid Lime / Gum', 'Core Black / Core Black / Gum', 'Core Black / Cloud White / Gold Metallic', 'Crystal White / Preloved Yellow / Gum', 'Collegiate Navy / Cloud White / Gold Metallic']",[],['Product code: IG5252'],['Reviews (2710)'],['4.6'],['47.0937'],['80.1811'],['88.6034']
8,"['6.5', '7', '7.5', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14']","['Silver Pebble / Aluminium / Purple Rush', 'Cloud White / Crystal White / Cloud White', 'Core Black / Grey Five / Core Black', 'Chalk White / Core Black / Off White', 'Grey Three / Grey Five / Grey Three', 'Carbon / Off White / Screaming Orange S21', 'Core Black / Grey Five / Cloud White', 'Cloud White / Carbon / Vivid Red', 'Aluminium / Grey Four / Solar Gold', 'Cloud White / Grey Two / Silver Green', 'Cloud White / Grey Two / Screaming Orange S21', 'Grey Two / Carbon / Grey Four', 'Cloud White / Core Black / Screaming Orange', 'Olive Strata S23 / Shadow Olive S22 / Silver Pebble S23', 'Dash Grey / Core Black / Silver Metallic', 'Cloud White / Core Black / Better Scarlet S23', 'Core Black / Cloud White / Pulse Lime S22']",[],['Product code: HP3132'],['Reviews (285)'],['4.7'],['55.8772'],['86.8421'],['88.3333']
9,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15']","['Core Black / Core Black / Grey Six', 'Linen Green F22 / Grey Three / Impact Orange F22', 'Wonder Steel F22 / Grey Three / Legend Ink', 'Core Black / Grey Six / Carbon', 'Wonder Steel F22 / Grey Three / Legend Ink', 'Wonder Taupe S23 / Earth Strata S23 / Core Black', 'Silver Violet S23 / Blue Dawn S23 / Core Black', 'Coral Fusion S23 / Coral Fusion S23 / Wonder White F21', 'Core Black / Core Black / Grey Six', 'Core Black / Wonder Beige F23 / Semi Impact Orange F22', 'Wonder Silver F23 / Wonder Silver F23 / Lucid Lemon F23', 'Sand Strata S23 / Sand Strata S23 / Wonder Beige F23']",[],['Product code: IF4923'],['Reviews (259)'],['4.6'],['48.4556'],['86.8726'],['88.5135']
10,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15']","['Legend Ink / Wonder Steel F22 / Impact Orange F22', 'Core Black / Dgh Solid Grey / Grey Five', 'Core Black / Dgh Solid Grey / Grey Five']",[],['Product code: HQ2104'],['Reviews (14)'],['4.1'],['42.8571'],['83.9286'],['89.2857']
11,['M 7 / W 8'],[],['Cloud White / Power Blue / Red'],['Product code: IG0664'],['Reviews (9)'],['5.0'],['52.7778'],['91.6667'],['91.6667']
12,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '9.5', '12']","['Cloud White / Cloud White / Light Purple', 'Core Black / Core Black / Altered Blue S22']",[],['Product code: HP5523'],['Reviews (81)'],['4.3'],['58.642'],['69.7531'],['83.9506']
13,"['6.5', '7', '7.5', '8', '9', '9.5', '10.5', '12', '13', '14']","['Silver Pebble / Aluminium / Purple Rush', 'Cloud White / Crystal White / Cloud White', 'Core Black / Grey Five / Core Black', 'Chalk White / Core Black / Off White', 'Grey Three / Grey Five / Grey Three', 'Carbon / Off White / Screaming Orange S21', 'Core Black / Grey Five / Cloud White', 'Cloud White / Carbon / Vivid Red', 'Aluminium / Grey Four / Solar Gold', 'Cloud White / Grey Two / Silver Green', 'Cloud White / Grey Two / Screaming Orange S21', 'Grey Two / Carbon / Grey Four', 'Cloud White / Core Black / Screaming Orange', 'Olive Strata S23 / Shadow Olive S22 / Silver Pebble S23', 'Dash Grey / Core Black / Silver Metallic', 'Cloud White / Core Black / Better Scarlet S23', 'Core Black / Cloud White / Pulse Lime S22']",[],['Product code: HP3133'],['Reviews (282)'],['4.7'],['55.9397'],['86.7021'],['88.2092']
14,[],"['Carbon / Core Black / Wonder Blue', 'Crystal White / Linen Green F22 / Wonder Silver F23']",[],['Product code: ID1687'],[],[],[],[],[]
15,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14']","['Cloud White / Bright Blue / Core Black', 'Focus Olive / Silver Pebble / Shadow Olive', 'Carbon / Grey Six / Lucid Blue S23', 'Grey / Grey Two / Lucid Lemon F23', 'Core Black / Grey Five / Solar Red']",[],['Product code: IF2225'],['Reviews (88)'],['4.3'],['50.2841'],['73.0114'],['80.9659']
16,"['M 5 / W 6', 'M 5.5 / W 6.5', 'M 6 / W 7', 'M 7 / W 8', 'M 7.5 / W 8.5', 'M 8 / W 9', 'M 8.5 / W 9.5', 'M 9 / W 10', 'M 9.5 / W 10.5', 'M 10 / W 11', 'M 10.5 / W 11.5', 'M 11 / W 12', 'M 11.5 / W 12.5', 'M 12 / W 13', 'M 13 / W 14', 'M 14 / W 15']","['Grey Three / Core Black / Grey Five', 'Cloud White / Grey One / Beam Orange', 'Aluminium / Olive Strata / Magic Beige', 'Grey One / Cloud White / Trace Grey', 'Sand Strata / Earth Strata / Shadow Red', 'Earth Strata / Core Black / Collegiate Green', 'Crystal White / Grey One / Grey Four', 'Core Black / Carbon / Grey Three', 'Magic Beige / Off White / Gum', 'Grey Five / Grey One / Beam Orange F22', 'Core Black / Silver Metallic / Trace Grey', 'Aluminium / Magic Beige F22 / Simple Brown', 'Almost Yellow F22 / Clear Blue / Shadow Olive S22']",[],['Product code: HQ4312'],['Reviews (9)'],['4.6'],['58.3333'],['94.4444'],['97.2222']
17,"['M 5 / W 6', 'M 5.5 / W 6.5', 'M 6 / W 7', 'M 6.5 / W 7.5', 'M 7 / W 8', 'M 7.5 / W 8.5', 'M 8 / W 9', 'M 8.5 / W 9.5', 'M 9 / W 10']","['Core Black / Core Black / Bright Blue', 'Bright Blue / Cloud White / Core Black', 'Cloud White / Team Maroon / Team Colleg Gold', 'Cloud White / Collegiate Orange / Dark Green', 'Cloud White / Team Dark Grey / Team Collegiate Red', 'Cloud White / Scarlet / Core Black', 'Light Solid Grey / Light Solid Grey / Bold Gold', 'Cloud White / Cloud White / Green', 'Cloud White / Cloud White / Off White', 'Legend Ink / Legend Ink / Shadow Navy', 'Wonder Taupe / Wonder Taupe / Aluminium', 'Core Black / Silver Green / Carbon', 'Core Black / Core Black / Beam Green F22', 'Grey Three / Grey Five / Core Black', 'Core Black / Core Black / Beam Green F22', 'Cloud White / Cloud White / Cloud White', 'Shadow Navy / Core Blue / Impact Orange', 'Crystal White / Crystal White / Preloved Blue', 'Off White / Off White / Core Black', 'Silver Green / Silver Green / Olive Strata', 'Grey Three / Light Solid Grey / Lucid Fuchsia', 'Core Black / Core Black / Wonder Quartz', 'Blue Dawn S23 / Blue Dawn S23 / Blue Fusion S23', 'Lucid Blue / Cloud White / Blue Fusion', 'Grey One / Core Black / Grey Three', 'Semi Blue Burst / Preloved Ink / Solar Red', 'Cloud White / Core Black / Better Scarlet S23', 'Wonder Beige / Wonder Beige / Core Black', 'Off White / Semi Impact Orange / Crew Blue', 'Arctic Night / Arctic Night / Core Black', 'Carbon / Carbon / Bright Red', 'Earth Strata S23 / Earth Strata S23 / Core Black', 'Bright Royal / Blue Dawn S23 / Bright Red', 'Grey One / Collegiate Green / Grey Three', 'Core Black / Carbon / Lucid Lemon', 'Aluminium / Wonder Beige / Olive Strata', 'Core Black / Core Black / Solar Red', 'Grey One / Lucid Blue / Grey Three', 'Silver Green S23 / Silver Green S23 / Gold Metallic', 'Cloud White / Silver Metallic / Team Maroon', 'Cloud White / Gold Metallic / Team College Purple']",[],['Product code: HQ5873'],['Reviews (2052)'],['4.7'],['50.0609'],['87.3964'],['90.1803']
18,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13']","['Savanna / Aluminium / Tech Purple', 'Silver Pebble / Olive Strata / Bold Gold', 'Cloud White / Grey One / Grey Two', 'Grey Four / Grey Three / Grey Two', 'Halo Blue S21 / Core Black / Aluminium', 'Legend Ink / Aluminium / Silver Green S23', 'Preloved Red S23 / Preloved Red S23 / Shadow Red']",[],['Product code: HQ4324'],['Reviews (207)'],['4.6'],['50.8454'],['83.0918'],['87.4396']
19,"['6.5', '7', '7.5', '8', '8.5', '9', '10', '10.5']","['Core Black / Collegiate Purple / Bold Gold', 'Team Yellow / Iron Metallic / Core Black']",[],['Product code: GY3808'],['Reviews (97)'],['4.4'],['52.5773'],['76.0309'],['79.6392']
20,['M 5 / W 6'],"['Core Black / Core Black / Core Black', 'Silver Pebble S23 / Olive Strata S23 / Silver Pebble S23', 'Cloud White / Zero Metalic / Grey One']",[],['Product code: HQ6179'],['Reviews (8)'],['4.9'],['56.25'],['87.5'],['93.75']
21,"['6', '6.5', '7.5', '12', '12.5', '13']","['Core Black / Core Black / Grey Six', 'Core Black / Grey Four / Cloud White', 'Wonder Beige F23 / Core Black / Semi Impact Orange F22', 'Core Black / Wonder Silver F23 / Semi Flash Aqua F23', 'Wonder Silver F23 / Wonder Silver F23 / Lucid Lemon F23']",[],['Product code: IE7652'],['Reviews (57)'],['4.7'],['55.2632'],['91.6667'],['92.5439']
22,"['M 5 / W 6', 'M 5.5 / W 6.5', 'M 6 / W 7', 'M 6.5 / W 7.5', 'M 7 / W 8', 'M 7.5 / W 8.5', 'M 8 / W 9', 'M 8.5 / W 9.5', 'M 9 / W 10', 'M 9.5 / W 10.5', 'M 10 / W 11', 'M 10.5 / W 11.5', 'M 11 / W 12', 'M 11.5 / W 12.5', 'M 12 / W 13', 'M 12.5 / W 13.5', 'M 13 / W 14', 'M 14 / W 15']","['Off White / Cream White / Shadow Green', 'Crystal White / Off White / Core Black', 'Core Black / Core Black / Carbon', 'Off White / Cream White / Olive Strata S23', 'Off White / Silver Metallic / Sandy Beige', 'Crystal White / Grey / Off White', 'Off White / Cream White / Royal Blue', 'Wonder Quartz S23 / Wonder Quartz S23 / Wonder Taupe S23']",[],['Product code: HQ6785'],['Reviews (374)'],['4.7'],['53.7433'],['85.2273'],['92.0455']
23,"['5', '5.5', '6', '7', '7.5', '8']","['Core Black / Grey Five / Off White', 'Cloud White / Mgh Solid Grey / Off White', 'Core Black / Grey Four / Cloud White', 'Cloud White / Grey One / Core Black', 'Grey Three / Grey One / Core Black', 'Core Black / Core Black / Core Black', 'Active Teal / Core Black / Off White', 'Bliss / Core Black / Cloud White', 'Grey Two / Grey One / Silver Metallic', 'Cloud White / Core Black / Silver Metallic', 'Wonder Beige / Shadow Olive / Better Scarlet', 'Focus Olive / Silver Pebble / Carbon', 'Wonder Beige / Aluminium / Core Black', 'Core Black / Carbon / Grey Five']",[],['Product code: ID0360'],['Reviews (733)'],['4.4'],['59.9932'],['76.1937'],['88.6085']
24,"['M 5 / W 6', 'M 6 / W 7', 'M 6.5 / W 7.5', 'M 7 / W 8', 'M 7.5 / W 8.5', 'M 8 / W 9', 'M 8.5 / W 9.5', 'M 9 / W 10', 'M 9.5 / W 10.5', 'M 10 / W 11', 'M 10.5 / W 11.5', 'M 11 / W 12', 'M 11.5 / W 12.5', 'M 12 / W 13', 'M 12.5 / W 13.5', 'M 13 / W 14', 'M 14 / W 15']","['Core Black / Cloud White / Cloud White', 'Cloud White / Lucid Blue S23 / Better Scarlet S23', 'Arctic Fusion F23 / Cloud White / Lucid Lemon F23', 'Cloud White / Core Black / Off White', 'Chalk White / Wonder Clay F23 / Cloud White']",[],['Product code: IE7022'],['Reviews (39)'],['4.7'],['51.2821'],['78.8462'],['94.2308']
25,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15']","['Core Black / Grey Three / Red', 'Orbit Green / Carbon / Core Black', 'Solar Gold / Core Black / Impact Orange', 'Core Black / Grey Three / Red', 'Orbit Green F21 / Carbon / Pulse Lime S22']",[],['Product code: HP9928'],['Reviews (7)'],['4.6'],['57.1429'],['75'],['96.4286']
