,count_of_sizes,colors,color,product_code,reviews,star_rating,Size,comfort,quality
0,"['28263507:8', '28263499:8.5', '28263508:9', '28263501:9.5', '28263494:10', '28263491:10.5', '28263495:11', '28263492:11.5', '28263496:12', '28263498:13']","['Black/White/Metallic Gold', 'Black/White/Cement Grey/Game Royal', 'White/Black/Wolf Grey/Fire Red', 'White/Gym Red/Black']",['Shown: White/Black/Wolf Grey/Fire Red'],['Style: CD7069-160'],['Reviews (148)'],['4.8'],['58% between Runs Small and True to Size'],['85% between Uncomfortable and Average'],['Yes (18)']
1,"['22669320:6', '22669323:6.5', '22669321:7', '22669325:7.5', '22669322:8', '22669327:8.5', '22669319:9', '22669329:9.5', '22669331:10', '22669333:10.5', '22669332:11', '22669334:11.5', '22669324:12', '22669335:12.5', '22669326:13', '22669328:14', '22669330:15']","['White/White/Gum Light Brown/Pure Platinum', 'White/Coastal Blue/Star Blue/White', 'Black/Black/Black', 'Anthracite/Light Current Blue/Cool Grey', 'Pure Platinum/Electric Green/Dark Grey', 'Black/Smoke Grey/Volt/White', 'White/Black/University Red', 'White/White/White']",['Shown: White/Black/University Red'],['Style: BV1171-100'],['Reviews (17)'],['4.7'],[],[],[]
2,"['LTITEM8150:M 3.5 / W 5', 'LTITEM8151:M 4 / W 5.5', 'LTITEM8152:M 4.5 / W 6', 'LTITEM8125:M 5 / W 6.5', 'LTITEM8126:M 5.5 / W 7', 'LTITEM8127:M 6 / W 7.5', 'LTITEM8128:M 6.5 / W 8', 'LTITEM8129:M 7 / W 8.5', 'LTITEM8131:M 7.5 / W 9', 'LTITEM8132:M 8 / W 9.5', 'LTITEM8133:M 8.5 / W 10', 'LTITEM8134:M 9 / W 10.5', 'LTITEM8135:M 9.5 / W 11', 'LTITEM8138:M 10 / W 11.5', 'LTITEM8139:M 10.5 / W 12', 'LTITEM8140:M 11 / W 12.5', 'LTITEM8142:M 11.5 / W 13', 'LTITEM8143:M 12 / W 13.5', 'LTITEM8144:M 12.5 / W 14', 'LTITEM8146:M 13 / W 14.5', 'LTITEM18180:M 13.5 / W 15', 'LTITEM8147:M 14 / W 15.5', 'LTITEM8148:M 15 / W 16.5']","['Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color']",['Shown: Multi-Color/Multi-Color'],['Style: FB2390-900'],[],[],[],[],[]
3,['28803804:15'],"['Phantom/Oatmeal/Citron Pulse/Ale Brown', 'College Navy/Racer Blue/Bright Crimson/Metallic Platinum', 'Dutch Blue/Black/Blue Glow/Phantom', 'Black/Black/Black', 'Black/Grey Fog/White/Dark Smoke Grey', 'Black/White', 'Dark Beetroot/University Gold/Bright Crimson/White', 'Black/Obsidian/Bright Crimson/Black', 'College Navy/Midnight Navy/Black/Metallic Silver']",['Shown: Phantom/Oatmeal/Citron Pulse/Ale Brown'],['Style: DZ3025-001'],['Reviews (2)'],['3'],['50% between Runs Small and True to Size'],['100% between Uncomfortable and Average'],[]
4,['28300576:18'],"['White/Black', 'White/Sail/Black/White', 'Midnight Navy/Black/Action Grape/White', 'Sail/Barely Volt/Ghost Green/Black', 'Black/White/Black', 'White/White']",['Shown: Sail/Barely Volt/Ghost Green/Black'],['Style: DM0573-101'],['Reviews (9)'],['3.9'],['50% between Runs Small and True to Size'],['100% between Uncomfortable and Average'],['Yes (1)']
5,"['24695135:7', '24695140:7.5', '24695133:14']",[],['Shown: Black/Gym Red/Off Noir/White'],['Style: CI4510-001'],['Reviews (89)'],['4.8'],['50% between Runs Small and True to Size'],['86% between Uncomfortable and Average'],[]
6,"['27483832:6.5', '27483823:7', '27483816:7.5', '27483835:8', '27483824:8.5', '27483825:9', '27483817:9.5', '27483819:10', '27483830:10.5', '27483834:11', '27483833:11.5', '27483829:12', '27483820:12.5', '27483826:13', '27483827:14', '27483821:15']","['Sail/White/Gym Red/Black', 'Black/Anthracite/Volt/White', 'Wolf Grey/Black/Hyper Royal/White', 'Barely Volt/Volt/Photon Dust/Black', 'Black/Off Noir/Hyper Violet/Flash Crimson']",['Shown: Black/Off Noir/Hyper Violet/Flash Crimson'],['Style: CW7356-011'],['Reviews (702)'],['4.7'],['47% between Runs Small and True to Size'],['92% between Uncomfortable and Average'],['Yes (7)']
7,"['29951237:6', '29951232:6.5', '29951238:7', '29951227:7.5', '29951235:8', '29951229:8.5', '29951236:9', '29951225:9.5', '29951234:10', '29951223:10.5', '29951231:11', '29951224:11.5', '29951233:12', '29951222:12.5', '29951228:13', '29951230:14', '29951226:15']","['Phantom/Light Bone/Black', 'Atomic Orange/Ice Peach/Peach Cream/White']",['Shown: Atomic Orange/Ice Peach/Peach Cream/White'],['Style: DZ2616-800'],['Reviews (61)'],['4.3'],['50% between Runs Small and True to Size'],['79% between Uncomfortable and Average'],['Yes (31)No (6)']
8,"['27490446:4.5', '27490448:5', '27490236:5.5', '27490240:6', '27490232:6.5']",['Black/Metallic Gold/Metallic Silver/Metallic Dark Grey'],['Shown: Black/Metallic Gold/Metallic Silver/Metallic Dark Grey'],['Style: CZ9890-007'],['Reviews (56)'],['4.6'],['36% between Runs Small and True to Size'],['73% between Uncomfortable and Average'],[]
9,"['23799683:3.5', '23799677:4', '23799690:5', '23799679:6', '23799673:6.5', '23799692:7', '23799686:7.5', '23799681:8', '23799675:8.5', '23799693:9', '23799688:9.5', '23799672:10', '23799669:10.5', '23799685:11', '23799682:11.5', '23799674:12', '23799670:12.5', '23799687:13', '23799676:14', '23799689:15', '23799678:16', '23799691:17', '23799680:18']",['Flax/Gum Light Brown/Black/Wheat'],['Shown: Flax/Gum Light Brown/Black/Wheat'],['Style: CJ9179-200'],['Reviews (21)'],['4.8'],['55% between Runs Small and True to Size'],['80% between Uncomfortable and Average'],['Yes (3)']
