,count_of_sizes,colors,product_code,quality,n_reviews,star_rating
0,12,"['PUMA Black-Warm White-Gum', 'Speed Blue-Lime Pow-Gum', 'Lavender Alert-Burnt Red-Gum']",399332_01,50.0,6,4.5
1,12,"['PUMA Black-Warm White-Gum', 'Speed Blue-Lime Pow-Gum', 'Lavender Alert-Burnt Red-Gum']",399332_03,50.0,6,4.5
2,12,"['PUMA Black-Warm White-Gum', 'Speed Blue-Lime Pow-Gum', 'Lavender Alert-Burnt Red-Gum']",399332_02,50.0,6,4.5
3,12,"['Malachite-Puma Team Gold-PUMA White', 'Dark Jasper-Puma Team Gold-PUMA White']",398949_01,,0,0.0
4,12,"['Malachite-Puma Team Gold-PUMA White', 'Dark Jasper-Puma Team Gold-PUMA White']",398949_02,,0,0.0
5,12,['PUMA White-Malachite-Puma Team Gold'],397113_01,,0,0.0
6,19,"['Malachite-Warm White', 'PUMA Black-PUMA Black']",397112_01,100.0,1,5.0
7,19,"['Malachite-Warm White', 'PUMA Black-PUMA Black']",397112_02,100.0,1,5.0
8,12,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Marshmallow-Puma White', 'Lily Pad-Lily Pad', 'Icy Blue-PUMA White', 'Granola-Warm White']",381410_01,,160,4.2
9,12,"['Puma White-Puma White', 'Puma White-Puma Black']",369155_04,80.9,162,4.1
10,11,"['Puma White-Puma Black', 'Puma White-Peyote']",381983_01,85.7,55,4.4
11,12,"['Puma White-Puma White', 'Puma White-Puma Black']",369155_01,80.9,162,4.1
12,12,"['Puma White-Puma White', 'Puma Black-Puma White']",373438_01,92.9,104,4.7
13,12,"['Puma White', 'Puma Black']",384209_01,66.7,30,3.9
14,12,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Marshmallow-Puma White', 'Lily Pad-Lily Pad', 'Icy Blue-PUMA White', 'Granola-Warm White']",381410_02,82.3,160,4.2
15,17,"['Puma White-Puma Team Gold', 'Puma Black-Puma Team Gold']",366408_01,73.5,36,4.1
16,12,['PUMA White-Gold-Warm White'],397089_01,,0,0.0
17,12,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Marshmallow-Puma White', 'Lily Pad-Lily Pad', 'Icy Blue-PUMA White', 'Granola-Warm White']",381410_10,82.3,160,4.2
18,12,"['Puma White-Puma White', 'Puma Black-Puma White']",373438_02,92.9,104,4.7
19,12,"['PUMA White', 'PUMA Black', 'PUMA White-PUMA Black', 'PUMA Black-PUMA White']",392730_01,75.0,9,4.1
20,12,"['Club Navy', 'Dark Myrtle']",399262_02,87.5,49,4.6
21,12,['Puma Black-Puma White'],380784_01,100.0,9,4.9
22,9,['Whisper White-ARUBA BLUE'],392710_01,,0,0.0
23,12,"['Frosty Pink-Warm White', 'Frosty Pink-Ravish-Pearl Pink']",393772_05,100.0,3,4.7
24,12,['PUMA Black'],396352_02,,0,0.0
25,18,"['Puma White-Puma Team Gold', 'Puma Black-Puma Team Gold']",366408_02,73.5,36,4.1
