,count_of_sizes,colors,product_code,star_rating,Size,comfort,quality,n_reviews,yes_recommendations,%_recommended,color,reviews
0,13,['White/White/Black'],DD1503-101,4.8,49.0,78.0,44.66,617.0,43.0,6.97,,
1,15,"['White/Rugged Orange/Campfire Orange/Cedar', 'White/Rush Fuchsia/Emerald Rise', 'White/Summit White/Iron Grey/Black', 'White/Light Smoke Grey/Summit White/Malachite', 'Sail/Wheat Gold/Team Red/Fir', 'Sail/Sea Glass/Coconut Milk/Light Silver', 'White/Light Bone/Sanddrift/Phantom', 'Sail/Light Orewood Brown/Amber Brown/Bronzine', 'White/Deep Royal Blue/Summit White/Game Royal']",DX9176-101,4.5,61.0,75.0,50.78,147.0,24.0,16.33,,
2,15,"['White/White/Black', 'White/University Blue', 'White/White/White', 'White/Pink Oxford', 'White/White/Metallic Silver', 'White/Black/Summit White/Hemp']",DH3158-107,4.6,59.0,78.0,46.67,199.0,6.0,3.02,,
3,15,"['Light Bone/White/Metallic Silver/Diffused Blue', 'Sea Glass/White/Oil Green', 'Pure Platinum/Volt/White/Black', 'Hyper Pink/White/Hyper Pink', 'White/White/Black', 'Light Ultramarine/White/Black/Light Ultramarine', 'Black/Black/Black', 'White/Fuchsia Dream/Black', 'Black/Phantom/Fierce Pink/Metallic Silver', 'Light Soft Pink/Pink Oxford/Desert Berry/Black', 'White/Black/Metallic Silver/Dusty Cactus', 'Black/White/Anthracite']",DZ7736-002,5,,,,2.0,,,,
4,13,"['Midnight Navy/Natural/Varsity Maize', 'Neutral Grey/White/Black/Safety Orange', 'Pale Ivory/White/Sail/Sanddrift', 'White/Sea Glass/Black/Volt', 'White/Summit White/Black', 'Neutral Grey/White/Black/Fuchsia Dream']",DZ2628-102,4.6,43.0,78.0,54.62,70.0,30.0,42.86,,
5,11,"['Bordeaux/Black/Volt/Vivid Purple', 'Black/White/Fireberry/Metallic Gold', 'Pale Ivory/Light Silver/Mica Green/Ice Peach', 'White/Luminous Green/Sea Glass/Lime Blast', 'Black/Anthracite/White', 'Sea Glass/Burgundy Crush/White/Sea Glass', 'Citron Tint/Volt/Summit White/Cool Grey']",DV3950-601,4.7,45.0,89.0,49.51,303.0,44.0,14.52,,
6,15,"['Black/Fireberry/Metallic Gold', 'White/Luminous Green/Sea Glass/Lime Blast', 'Light Silver/Guava Ice/Mica Green/Pale Ivory', 'Bordeaux/Vivid Purple/Volt/Black', 'Amber Brown/Light Bone/Mica Green/Guava Ice', 'Jade Ice/Black/Mineral/White', 'Sail/Guava Ice/Rush Fuchsia/White', 'Black/Anthracite/Smoke Grey/White', 'Atomic Orange/Ice Peach/Peach Cream/White', 'Phantom/Light Bone/Black']",DZ2537-603,4.4,42.0,74.0,63.18,34.0,25.0,73.53,,
7,15,"['White/Sail/Diffused Blue', 'White/White/Peach/White', 'White/Sail/Peach/Black', 'White/Peach/Summit White/Pink Oxford']",CZ1055-100,4.6,47.0,66.0,38.94,707.0,27.0,3.82,,
8,15,['White/Sail/White/Black'],DC4769-102,4.6,54.0,66.0,40.2,168.0,1.0,0.6,,
9,15,"['Fierce Pink/Pink Foam/Fireberry/Metallic Red Bronze', 'Court Purple/White/Black/Coral Chalk', 'Photon Dust/Light Smoke Grey/Bright Mandarin/Obsidian', 'Deep Jungle/Black/White/Metallic Silver', 'Sea Glass/White/Burgundy Crush', 'Guava Ice/Amber Brown/Photon Dust/Vivid Purple', 'Phantom/Jade Ice/Sail/White', 'Black/White', 'Black/Anthracite/Black', 'White/Pure Platinum/Metallic Silver', 'Volt/Barely Volt/Bright Crimson/Volt', 'Pearl Pink/Pink Foam/Hemp/White', 'White/Coconut Milk/Black', 'Black/Iron Grey/White', 'Summit White/Sail/Adobe/Multi-Color']",DV3854-100,4.7,50.0,89.0,49.66,371.0,37.0,9.97,,
10,7,"['Sail/Sail/Coconut Milk/Buff Gold', 'White/Black/Court Purple/Coral Chalk', 'Black/White/Dark Smoke Grey/Metallic Gold', 'White/Pure Platinum/Metallic Silver', 'White/Pure Platinum/Fuchsia Dream/Black', 'White/Clear Jade/Jade Ice/Light Smoke Grey', 'Black/Dark Smoke Grey/White']",FV3635-171,0,,,,0.0,,,,
11,12,"['Black/White/Team Orange/Sail', 'White/White/White', 'Pearl White/Sail/Team Orange/Phantom', 'White/Hemp/Team Orange/Black', 'White/Summit White/Coral Chalk/Sea Coral', 'Light Soft Pink/Pink Oxford/Desert Berry/Sail', 'White/Light Orewood Brown/Sail/Diffused Blue', 'White/Guava Ice/Cedar/Red Stardust', 'White/Coconut Milk/Stadium Green/Summit White', 'White/Black/Summit White/Hemp']",DM7590-100,4.6,59.0,75.0,47.4,293.0,24.0,8.19,,
12,15,"['White/Hot Punch/Bright Cactus/Phantom', 'White/Football Grey/Black/Multi-Color', 'White/Desert Ochre/Team Orange/Black', 'Summit White/Sail/Pearl Pink/Rosewood', 'White/Black/Volt/White', 'Phantom/Metallic Red Bronze/Fireberry/Phantom', 'White/Team Orange/Black/Rose Whisper']",DH3161-100,4.5,36.0,68.0,37.05,448.0,32.0,7.14,,
13,12,"['Football Grey/Court Purple/White/Coral Chalk', 'Sea Glass/Safety Orange/Bright Mandarin/Polar', 'White/White', 'Deep Jungle/Black/Jade Ice/Metallic Silver', 'Dark Smoke Grey/Black/Coconut Milk/Metallic Gold', 'Pink Foam/White', 'White/Light Lemon Twist/Volt/Black', 'Black/White/Black', 'White/Photon Dust/Metallic Silver', 'Phantom/White/Coconut Milk/Phantom', 'Jade Ice/White/Clear Jade/Picante Red', 'Black/Dark Grey/White', 'Guava Ice/Photon Dust/White/Vivid Purple']",DR2670-006,4.5,29.0,86.0,47.2,188.0,50.0,26.6,,
