,count_of_sizes,colors,color,product_code
0,"['36', '37', '38', '39', '40', '41']","['BROWN_MAROON', 'YELLOW_OLIVE']",['BROWN/MAROON'],['FLC0310S2602A']
1,"['36', '37', '38', '39', '40', '41']","['LGREY', 'KHAKI', 'BROWN']",['LGREY'],['FLC015044221A']
2,"['36', '37', '38', '39', '40', '41']","['DCADET_BLUE', 'CAMEL']",['DCADET BLUE'],['FLC0H9026391B']
3,"['36', '37', '38', '39', '40', '41']","['VARIGLIA', 'LPINK', 'AIR_BLUE']",['VARIGLIA'],['FLC051044211A']
4,"['36', '37', '38', '39', '40', '41']",['DBLUE'],['DBLUE'],['FGC0AI024031B']
5,"['36', '37', '38', '39', '40', '41']","['WHITE', 'BLACK']",['WHITE'],['FLC0310S2622A']
6,"['36', '37', '38', '39', '40', '41']","['WHITE', 'BLACK']",['WHITE'],['FLC0260S2522A']
7,"['36', '37', '38', '39', '40', '41']","['BLACK', 'WHITE']",['BLACK'],['FLC0310S2532A']
8,"['36', '37', '38', '39', '40', '41']","['GREY_GREEN', 'WHITE_LGREY']",['GREY/GREEN'],['FLC0IA0AR972A']
9,"['36', '37', '38', '39', '40', '41']","['MAROON', 'BEIGE', 'BLUE']",['MAROON'],['FLC0310S2612A']
10,"['36', '37', '38', '39', '40', '41']","['DESERT_ROSE', 'GREY', 'DSKY_BLUE']",['DESERT ROSE'],['FLC0AX032671A']
11,"['36', '37', '38', '39', '40', '41']","['BLACK_PURPLE', 'WHITE_PINK']",['BLACK/PURPLE'],['FLC0DN0AR952A']
12,"['36', '37', '38', '39', '40', '41']","['GREY', 'WHITE_PINK']",['GREY'],['FLC0DY0AR942A']
13,"['36', '37', '38', '39', '40', '41']","['PINK_BLUE', 'GREEN_ORANGE']",['PINK/BLUE'],['FLC0DN0AR932A']
14,"['36', '37', '38', '39', '40', '41']","['PINK', 'GREEN']",['PINK'],['FLC0260S2552A']
15,"['36', '37', '38', '39', '40', '41']","['WHITE', 'RUST']",['WHITE'],['FLC0H40S9652A']
16,"['36', '37', '38', '39', '40', '41']","['WHITE', 'PINK']",['WHITE'],['FLC0H40R1972A']
17,"['36', '37', '38', '39', '40', '41']",['TAN'],['TAN'],['FLC0Z3024031B']
18,"['36', '37', '38', '39', '40', '41']","['WHITE', 'BLUE']",['WHITE'],['FLC0510R1982A']
19,"['36', '37', '38', '39', '40', '41']","['BLUE', 'GREEN']",['BLUE'],['FLC0H40S7612A']
20,"['36', '37', '38', '39', '40', '41']","['FUSCHIA', 'WHITE']",['FUSCHIA'],['FLC0H40S9662A']
