,ShoeName,URL,no_colors,price_reduce,price,price_,Category
0,Superstar XLG Shoes,https://www.adidas.com/us/superstar-xlg-shoes/IG9777.html,12 colors,$88,$110,-,WOMEN Originals
1,Cloudfoam Pure Shoes,https://www.adidas.com/us/cloudfoam-pure-shoes/IG2530.html,2 colors,$45,$75,-,Women's Essentials
2,AdiFOM SST Boot Shoes,https://www.adidas.com/us/adifom-sst-boot-shoes/IE4614.html,3 colors,$44,$110,-,Women's Originals
3,Racer TR23 Shoes,https://www.adidas.com/us/racer-tr23-shoes/IF3330.html,11 colors,$56,$80,-,Women's Sportswear
4,Gazelle Indoor Shoes,https://www.adidas.com/us/gazelle-indoor-shoes/IG4994.html,2 colors,$105,$150,-,WOMEN Originals
5,Cloudfoam Pure Shoes,https://www.adidas.com/us/cloudfoam-pure-shoes/IF3393.html,2 colors,$45,$75,-,Women's Sportswear
6,Stan Smith Shoes,https://www.adidas.com/us/stan-smith-shoes/G58184.html,2 colors,$80,$100,-,Women's Originals
7,Gazelle Indoor Shoes,https://www.adidas.com/us/gazelle-indoor-shoes/IG4996.html,2 colors,$105,$150,-,WOMEN Originals
8,Superstar Shoes,https://www.adidas.com/us/superstar-shoes/IF7677.html,22 colors,$44,$110,-,Women's Originals
9,OZMILLEN Shoes,https://www.adidas.com/us/ozmillen-shoes/IF6581.html,2 colors,$44,$110,-,Women's Originals
10,AdiFOM SST Boot Shoes,https://www.adidas.com/us/adifom-sst-boot-shoes/IE4613.html,3 colors,$44,$110,-,Women's Originals
11,Ultraboost 1.0 Shoes,https://www.adidas.com/us/ultraboost-1.0-shoes/HR0066.html,2 colors,$160,$200,-,Women's Sportswear
12,Stan Smith Lux Shoes,https://www.adidas.com/us/stan-smith-lux-shoes/HQ6787.html,8 colors,$120,$150,-,WOMEN Originals
13,Superstar Shoes,https://www.adidas.com/us/superstar-shoes/IF7676.html,22 colors,$44,$110,-,Women's Originals
14,AdiFOM SST Boot Shoes,https://www.adidas.com/us/adifom-sst-boot-shoes/IG2682.html,3 colors,$44,$110,-,Women's Originals
15,Adizero SL Running Shoes,https://www.adidas.com/us/adizero-sl-running-shoes/ID6933.html,7 colors,$48,$120,-,Women's Running
16,Superstar Shoes,https://www.adidas.com/us/superstar-shoes/IE3000.html,22 colors,$80,$100,-,Women's Originals
17,Avryn Shoes,https://www.adidas.com/us/avryn-shoes/IG2372.html,18 colors,$63,$140,-,WOMEN Sportswear
18,Puremotion Adapt Shoes,https://www.adidas.com/us/puremotion-adapt-shoes/ID4430.html,7 colors,$42,$70,-,Women's Essentials
19,Superstar XLG Shoes,https://www.adidas.com/us/superstar-xlg-shoes/IF8114.html,12 colors,$77,$110,-,WOMEN Originals
20,Superstar Millencon Boot Shoes,https://www.adidas.com/us/superstar-millencon-boot-shoes/IG5320.html,2 colors,$49,$140,-,Women's Originals
21,Superstar Shoes,https://www.adidas.com/us/superstar-shoes/IF7615.html,22 colors,$88,$110,-,Women's Originals
22,Superstar XLG Shoes,https://www.adidas.com/us/superstar-xlg-shoes/IE7377.html,3 colors,$77,$110,-,Women's Originals
23,Y-3 Rivalry,https://www.adidas.com/us/y-3-rivalry/FZ6396.html,4 colors,$240,$400,-,WOMEN Y-3
24,TERREX Swift R3 GORE-TEX Hiking Shoes,https://www.adidas.com/us/terrex-swift-r3-gore-tex-hiking-shoes/IF2403.html,4 colors,$64,$160,-,Women's TERREX
25,Superstar XLG Shoes,https://www.adidas.com/us/superstar-xlg-shoes/IG2972.html,3 colors,$77,$110,-,Women's Originals
26,Crazy 8 Shoes,https://www.adidas.com/us/crazy-8-shoes/IE7198.html,4 colors,$98,$140,-,WOMEN Originals
27,Duramo SL Running Shoes,https://www.adidas.com/us/duramo-sl-running-shoes/IF7877.html,7 colors,$49,$70,-,Women's Running
28,Five Ten Freerider Pro Mountain Bike Shoes,https://www.adidas.com/us/five-ten-freerider-pro-mountain-bike-shoes/FX4453.html,5 colors,$56,$160,-,Women's Five Ten
29,Stan Smith CS Shoes,https://www.adidas.com/us/stan-smith-cs-shoes/IG0344.html,4 colors,$80,$100,-,Women's Originals
30,Avacourt Tennis Shoes,https://www.adidas.com/us/avacourt-tennis-shoes/ID2080.html,4 colors,$45,$150,-,Women's Tennis
31,TERREX FREE HIKER 2 C.RDY W,https://www.adidas.com/us/terrex-free-hiker-2-c.rdy-w/IG2368.html,2 colors,$208,$260,-,Women's TERREX
32,X_PLRBOOST Shoes,https://www.adidas.com/us/x_plrboost-shoes/ID9600.html,11 colors,$64,$160,-,Women's Sportswear
33,Copa Icon Firm Ground Soccer Cleats,https://www.adidas.com/us/copa-icon-firm-ground-soccer-cleats/GZ2528.html,"2 colors, Firm Ground",$108,$180,-,WOMEN Soccer
34,Stan Smith Shoes,https://www.adidas.com/us/stan-smith-shoes/IE4634.html,2 colors,$88,$110,-,Women's Originals
35,TERREX Swift R3 Mid GORE-TEX Hiking Shoes,https://www.adidas.com/us/terrex-swift-r3-mid-gore-tex-hiking-shoes/IF2401.html,-,$72,$180,-,Women's TERREX
36,NMD_V3 Shoes,https://www.adidas.com/us/nmd_v3-shoes/HQ9115.html,11 colors,$85,$170,-,Women's Originals
37,Superstar XLG Shoes,https://www.adidas.com/us/superstar-xlg-shoes/IG2971.html,3 colors,$77,$110,-,Women's Originals
38,RunFalcon Wide 3 Running Shoes,https://www.adidas.com/us/runfalcon-wide-3-running-shoes/HP6651.html,2 colors,$43,$65,-,Women's Running
39,Ultraboost 1.0 Shoes,https://www.adidas.com/us/ultraboost-1.0-shoes/ID9676.html,2 colors,$67,$190,-,Women's Sportswear
40,Predator Accuracy.1 Firm Ground Soccer Cleats,https://www.adidas.com/us/predator-accuracy.1-firm-ground-soccer-cleats/GW4569.html,"6 colors, Firm Ground",$125,$250,-,WOMEN Soccer
41,TERREX SOULSTRIDE FLOW GTX W,https://www.adidas.com/us/terrex-soulstride-flow-gtx-w/ID6715.html,2 colors,$72,$160,-,Women's TERREX
42,NMD_V3 Shoes,https://www.adidas.com/us/nmd_v3-shoes/GZ2133.html,11 colors,$60,$170,-,Women's Originals
43,Adicane Clogs,https://www.adidas.com/us/adicane-clogs/HQ9918.html,3 colors,$38,$50,-,WOMEN Sportswear
44,TERREX Free Hiker 2.0 Hiking Shoes,https://www.adidas.com/us/terrex-free-hiker-2-hiking-shoe/GV8920.html,9 colors,$100,$200,-,Women's TERREX
45,Texas A&M Ultraboost 1.0 Shoes,https://www.adidas.com/us/texas-a-m-ultraboost-1.0-shoes/IG5876.html,17 colors,$70,$200,-,WOMEN Sportswear
46,Adizero Boston 12 Running Shoes,https://www.adidas.com/us/adizero-boston-12-running-shoes/IF8170.html,5 colors,$64,$160,-,Women's Running
47,Adilette Comfort Slides,https://www.adidas.com/us/adilette-comfort-slides/GX9835.html,17 colors,$20,$40,-,WOMEN Sportswear
0,Duramo SL Wide Running Shoes,https://www.adidas.com/us/duramo-sl-wide-running-shoes/IG0310.html,2 colors,-,-,-,Women's Running
1,adizero Ubersonic 4 Tennis Shoes,https://www.adidas.com/us/adizero-ubersonic-4-tennis-shoes/HQ8392.html,3 colors,-,-,-,Women's Tennis
2,TERREX Free Hiker 2.0 Hiking Shoes,https://www.adidas.com/us/terrex-free-hiker-2.0-hiking-shoes/HP7496.html,9 colors,$80,$200,-,Women's TERREX
3,NMD_V3 Shoes,https://www.adidas.com/us/nmd_v3-shoes/GY4189.html,11 colors,$112,$160,-,Women's Originals
4,TERREX AX4 Mid GORE-TEX Hiking Shoes,https://www.adidas.com/us/terrex-ax4-mid-gore-tex-hiking-shoes/HQ1049.html,2 colors,-,-,-,Women's TERREX
5,Kaptir Flow Shoes,https://www.adidas.com/us/kaptir-flow-shoes/IF6603.html,6 colors,-,-,-,Women's Sportswear
6,Adizero SL Running Shoes,https://www.adidas.com/us/adizero-sl-running-shoes/ID6946.html,-,-,-,-,Women's Running
7,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/GZ9257.html,2 colors,-,-,-,WOMEN Originals
8,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/GZ9260.html,2 colors,$120,$150,-,WOMEN Originals
9,Terrex Free Hiker 2.0 Low GORE-TEX Hiking Shoes,https://www.adidas.com/us/terrex-free-hiker-2.0-low-gore-tex-hiking-shoes/IE7657.html,3 colors,$81,$180,-,Women's TERREX
10,Ultraboost Light Shoes,https://www.adidas.com/us/ultraboost-light-shoes/HQ8600.html,5 colors,$67,$190,-,Women's Running
11,Predator Accuracy Injection+ Firm Ground Soccer Cleats,https://www.adidas.com/us/predator-accuracy-injection-plus-firm-ground-soccer-cleats/IG0769.html,Firm Ground,$225,$300,-,WOMEN Soccer
