,ShoeName,URL,no_colors,price_reduce,price,Category
0,,https://www.nike.com/t/dunk-low-womens-shoes-4W2Z5P/DD1503-101,1 Color,$115,$115,Women
1,Nike Gamma Force,https://www.nike.com/t/gamma-force-womens-shoes-4TR9Xf/DX9176-101,9 Colors,"$72.97
$90
18% off",$90,Women
2,Nike Court Vision Low Next Nature,https://www.nike.com/t/court-vision-low-next-nature-womens-shoes-ZkMMBG/DH3158-107,6 Colors,"$60.97
$80
23% off",$80,Women
3,Nike Air Max 270,https://www.nike.com/t/air-max-270-womens-shoes-Pgb94t/DZ7736-002,12 Colors,"$120.97
$160
24% off",$160,Women
4,Nike Air Max 1,https://www.nike.com/t/air-max-1-womens-shoes-0vW0ds/DZ2628-102,6 Colors,$140,$140,Women
5,Nike Free Metcon 5,https://www.nike.com/t/free-metcon-5-womens-workout-shoes-h4Zl5h/DV3950-601,7 Colors,$120,$120,Women
6,Nike Metcon 9,https://www.nike.com/t/metcon-9-womens-workout-shoes-xMlsHx/DZ2537-603,10 Colors,$140,$140,Women
7,Nike Blazer Mid '77,https://www.nike.com/t/blazer-mid-77-womens-shoes-NPWfjm/CZ1055-100,4 Colors,$105,$105,Women
8,Nike Blazer Low '77,https://www.nike.com/t/blazer-low-77-womens-shoes-01lVDq/DC4769-102,1 Color,$90,$90,Women
9,Nike Pegasus 40,https://www.nike.com/t/pegasus-40-womens-road-running-shoes-L80k6C/DV3854-100,18 Colors,$130,$130,Women
10,Nike Structure 25,https://www.nike.com/t/structure-25-womens-road-running-shoes-Zh2tPh/FV3635-171,10 Colors,$140,$140,Women
11,Nike Court Legacy Lift,https://www.nike.com/t/court-legacy-lift-womens-shoes-x0B6BB/DM7590-100,9 Colors,"$76.97
$90
14% off",$90,Women
12,Nike Court Legacy Next Nature,https://www.nike.com/t/court-legacy-next-nature-womens-shoes-8r07x0/DH3161-100,6 Colors,"$59.97
$70
14% off",$70,Women
13,Nike InfinityRN 4,https://www.nike.com/t/infinityrn-4-womens-road-running-shoes-ZrWGRG/DR2670-006,15 Colors,"$136.97
$160
14% off",$160,Women
14,Nike Invincible 3,https://www.nike.com/t/invincible-3-womens-road-running-shoes-r2vJbh/DR2660-001,11 Colors,$180,$180,Women
15,Nike Air VaporMax 2023 Flyknit,https://www.nike.com/t/air-vapormax-2023-flyknit-womens-shoes-gZhc8N/FD3148-001,8 Colors,"$157.97
$210
24% off",$210,Women
16,Nike Air Max Excee,https://www.nike.com/t/air-max-excee-womens-shoes-jKsgMj/CD5432-101,7 Colors,"$71.97
$95
24% off",$95,Women
17,Nike Revolution 7,https://www.nike.com/t/revolution-7-womens-road-running-shoes-wP5p63/FB2208-100,6 Colors,"$52.97
$70
24% off",$70,Women
18,Nike Interact Run,https://www.nike.com/t/interact-run-womens-road-running-shoes-v5LlQl/FD2292-100,3 Colors,"$72.97
$85
14% off",$85,Women
19,Nike Air Force 1 Wild,https://www.nike.com/t/air-force-1-wild-womens-shoes-r7kSSl/FB2348-700,5 Colors,$145,$145,Women
