,ShoeName,URL,no_colors,price_reduce,price,Category
0,FENTY x PUMA Creeper Phatty Women's SneakersPUMA Black-Warm White-Gum,/us/en/pd/fenty-x-puma-creeper-phatty-womens-sneakers/399332?swatch=01&referrer-category=womens-shop-all-womens,3 Colors,-,$140.00,Women
1,FENTY x PUMA Creeper Phatty Women's SneakersLavender Alert-Burnt Red-Gum,/us/en/pd/fenty-x-puma-creeper-phatty-womens-sneakers/399332?swatch=03&referrer-category=womens-shop-all-womens,3 Colors,-,$140.00,Women
2,FENTY x PUMA Creeper Phatty Women's SneakersSpeed Blue-Lime Pow-Gum,/us/en/pd/fenty-x-puma-creeper-phatty-womens-sneakers/399332?swatch=02&referrer-category=womens-shop-all-womens,3 Colors,-,$140.00,Women
3,Basket Classic Velvet Women's SneakersMalachite-Puma Team Gold-PUMA White,/us/en/pd/basket-classic-velvet-womens-sneakers/398949?swatch=01&referrer-category=womens-shop-all-womens,2 Colors,$64.99,$80.00,Women
4,Basket Classic Velvet Women's SneakersDark Jasper-Puma Team Gold-PUMA White,/us/en/pd/basket-classic-velvet-womens-sneakers/398949?swatch=02&referrer-category=womens-shop-all-womens,2 Colors,$64.99,$80.00,Women
5,Mayze Heritage Velvet Women's SneakersPUMA White-Malachite-Puma Team Gold,/us/en/pd/mayze-heritage-velvet-womens-sneakers/397113?swatch=01&referrer-category=womens-shop-all-womens,1 Color,$84.99,$100.00,Women
6,CA Pro Velour SneakersMalachite-Warm White,/us/en/pd/ca-pro-velour-sneakers/397112?swatch=01&referrer-category=womens-shop-all-womens,2 Colors,$79.99,$100.00,Women
7,CA Pro Velour SneakersPUMA Black-PUMA Black,/us/en/pd/ca-pro-velour-sneakers/397112?swatch=02&referrer-category=womens-shop-all-womens,2 Colors,$79.99,$100.00,Women
8,Suede Classic XXI Women's SneakersPuma Black-Puma White,/us/en/pd/suede-classic-xxi-womens-sneakers/381410?swatch=01&referrer-category=womens-shop-all-womens,6 Colors,-,$75.00,Women
9,Cali Women's SneakersPuma White-Puma Black,/us/en/pd/cali-womens-sneakers/369155?swatch=04&referrer-category=womens-shop-all-womens,2 Colors,-,$80.00,Women
10,Mayze Women's SneakersPuma White-Puma Black,/us/en/pd/mayze-womens-sneakers/381983?swatch=01&referrer-category=womens-shop-all-womens,2 Colors,-,$90.00,Women
11,Cali Women's SneakersPuma White-Puma White,/us/en/pd/cali-womens-sneakers/369155?swatch=01&referrer-category=womens-shop-all-womens,2 Colors,-,$80.00,Women
12,Cali Wedge Women's SneakersPuma White-Puma White,/us/en/pd/cali-wedge-womens-sneakers/373438?swatch=01&referrer-category=womens-shop-all-womens,2 Colors,-,$90.00,Women
13,Mayze Classic Women's SneakersPuma White,/us/en/pd/mayze-classic-womens-sneakers/384209?swatch=01&referrer-category=womens-shop-all-womens,2 Colors,-,$90.00,Women
14,Suede Classic XXI Women's SneakersHigh Risk Red-Puma White,/us/en/pd/suede-classic-xxi-womens-sneakers/381410?swatch=02&referrer-category=womens-shop-all-womens,6 Colors,-,$75.00,Women
15,Roma Classic Gum SneakersPuma White-Puma Team Gold,/us/en/pd/roma-classic-gum-sneakers/366408?swatch=01&referrer-category=womens-shop-all-womens,2 Colors,-,$70.00,Women
16,RS-X Glimmer Women's SneakersPUMA White-Gold-Warm White,/us/en/pd/rs-x-glimmer-womens-sneakers/397089?swatch=01&referrer-category=womens-shop-all-womens,1 Color,-,$110.00,Women
17,Suede Classic XXI Women's SneakersMarshmallow-Puma White,/us/en/pd/suede-classic-xxi-womens-sneakers/381410?swatch=10&referrer-category=womens-shop-all-womens,6 Colors,-,$75.00,Women
18,Cali Wedge Women's SneakersPuma Black-Puma White,/us/en/pd/cali-wedge-womens-sneakers/373438?swatch=02&referrer-category=womens-shop-all-womens,2 Colors,-,$90.00,Women
19,Cali Dream West Coast Leather Women's SneakersPUMA White,/us/en/pd/cali-dream-west-coast-leather-womens-sneakers/392730?swatch=01&referrer-category=womens-shop-all-womens,4 Colors,-,$90.00,Women
20,FENTY x PUMA AVANTI L Women's SneakersDark Myrtle,/us/en/pd/fenty-x-puma-avanti-l-womens-sneakers/399262?swatch=02&referrer-category=womens-shop-all-womens,2 Colors,-,$160.00,Women
