,ShoeName,URL,price_reduce,price,price_,Category
0,Brown/maroon Canvas shoes for women,/productinfo/FLC0310S2602A-BROWN_MAROON,2247,4495,₹4495₹2247,Women
1,Lgrey sneaker for women,/productinfo/FLC015044221A-LGREY,4995,4995,₹4995,Women
2,Woodland DCadet Blue casual sneakers,/productinfo/FLC0H9026391B-DCADET_BLUE,4995,4995,₹4995,Women
3,Variglia Sneakers for Women,/productinfo/FLC051044211A-VARIGLIA,4495,4495,₹4495,Women
4,DBLUE casual sneakers,/productinfo/FGC0AI024031B-DBLUE,2497,4995,₹4995₹2497,Women
5,White canvas shoes for women,/productinfo/FLC0310S2622A-WHITE,2247,4495,₹4495₹2247,Women
6,White Sneakers for women,/productinfo/FLC0260S2522A-WHITE,2497,4995,₹4995₹2497,Women
7,Black Canvas shoes for women,/productinfo/FLC0310S2532A-BLACK,2747,5495,₹5495₹2747,Women
8,Grey/Green Sneaker for women,/productinfo/FLC0IA0AR972A-GREY_GREEN,7495,7495,₹7495,Women
9,Maroon canvas shoes for women,/productinfo/FLC0310S2612A-MAROON,2497,4995,₹4995₹2497,Women
10,Desert Rose sneaker for women,/productinfo/FLC0AX032671A-DESERT_ROSE,2997,4995,₹4995₹2997,Women
11,Black/Purple Sports Shoe for Women,/productinfo/FLC0DN0AR952A-BLACK_PURPLE,6995,6995,₹6995,Women
12,Grey Sneaker for Men,/productinfo/FLC0DY0AR942A-GREY,6995,6995,₹6995,Women
13,Pink/Blue Sneaker for women,/productinfo/FLC0DN0AR932A-PINK_BLUE,6995,6995,₹6995,Women
14,Pink Sneakers for women,/productinfo/FLC0260S2552A-PINK,2247,4495,₹4495₹2247,Women
15,White Fabric Ladies Luxury Sports Shoes,/productinfo/FLC0H40S9652A-WHITE,4197,6995,₹6995₹4197,Women
16,White Sneaker for women,/productinfo/FLC0H40R1972A-WHITE,4497,7495,₹7495₹4497,Women
17,Tan casual sneakers,/productinfo/FLC0Z3024031B-TAN,2497,4995,₹4995₹2497,Women
18,White Sneaker for women,/productinfo/FLC0510R1982A-WHITE,4797,7995,₹7995₹4797,Women
19,Blue Sneaker for women,/productinfo/FLC0H40S7612A-BLUE,4197,6995,₹6995₹4197,Women
20,Fuschia Fabric Ladies Luxury Sports Shoes,/productinfo/FLC0H40S9662A-FUSCHIA,4197,6995,₹6995₹4197,Women
21,White/Purple Sneakers for Women,/productinfo/FLC0IA0AR992A-WHITE_PURPLE,7495,7495,₹7495,Women
22,Woodland Camel casual sneakers,/productinfo/FLC051016461A-CAMEL,3971,5295,₹5295₹3971,Women
23,Light blue casual sneakers for women,/productinfo/FLC0310T9022A-LBLUE,1600,4495,₹4495₹1600,Women
24,Black Sneaker for women,/productinfo/FLC0H40R1952A-BLACK,4197,6995,₹6995₹4197,Women
25,Grey casual sneaker for women,/productinfo/FLC0310T9062A-GREY,1200,4495,₹4495₹1200,Women
26,Purple/Grey Sneakers for Women,/productinfo/FLC0510R1962A-PURPLE_GREY,4797,7995,₹7995₹4797,Women
27,Navy Slip-on sneaker for women,/productinfo/FLC0H40S7582A-NAVY,3597,5995,₹5995₹3597,Women
28,Red casual sneakers,/productinfo/FLC0260U2632A-RED,1500,4495,₹4495₹1500,Women
29,Woodland DBLUE casual sneakers,/productinfo/FLC0AI027271A-DBLUE,2000,4495,₹4495₹2000,Women
30,Pink Slip-on shoes,/productinfo/FLC0H40T3272A-PINK,1500,4995,₹4995₹1500,Women
