,ShoeName,Category,no_colors,price_reduce,price,product_code
0,,Women,1.0,115.0,115.0,DD1503-101
1,Nike Gamma Force,Women,9.0,72.97,90.0,DX9176-101
2,Nike Court Vision Low Next Nature,Women,6.0,60.97,80.0,DH3158-107
3,Nike Air Max 270,Women,12.0,120.97,160.0,DZ7736-002
4,Nike Air Max 1,Women,6.0,140.0,140.0,DZ2628-102
5,Nike Free Metcon 5,Women,7.0,120.0,120.0,DV3950-601
6,Nike Metcon 9,Women,10.0,140.0,140.0,DZ2537-603
7,Nike Blazer Mid '77,Women,4.0,105.0,105.0,CZ1055-100
8,Nike Blazer Low '77,Women,1.0,90.0,90.0,DC4769-102
9,Nike Pegasus 40,Women,18.0,130.0,130.0,DV3854-100
10,Nike Structure 25,Women,10.0,140.0,140.0,FV3635-171
11,Nike Court Legacy Lift,Women,9.0,76.97,90.0,DM7590-100
12,Nike Court Legacy Next Nature,Women,6.0,59.97,70.0,DH3161-100
13,Nike InfinityRN 4,Women,15.0,136.97,160.0,DR2670-006
14,Nike Invincible 3,Women,11.0,180.0,180.0,DR2660-001
15,Nike Air VaporMax 2023 Flyknit,Women,8.0,157.97,210.0,FD3148-001
16,Nike Air Max Excee,Women,7.0,71.97,95.0,CD5432-101
17,Nike Revolution 7,Women,6.0,52.97,70.0,FB2208-100
18,Nike Interact Run,Women,3.0,72.97,85.0,FD2292-100
19,Nike Air Force 1 Wild,Women,5.0,145.0,145.0,FB2348-700
20,Nike Tech Hera,Women,7.0,82.97,110.0,DR9761-800
21,Nike Air Max SC,Women,12.0,67.97,90.0,FQ8886-100
22,Nike Dunk Low Twist,Women,4.0,106.97,125.0,DZ2794-700
23,Nike Phoenix Waffle,Women,3.0,100.0,100.0,FD2196-100
24,Nike TC 7900,Women,2.0,90.97,120.0,DD9682-102
25,Nike V2K Run,Women,3.0,110.0,110.0,FD0736-101
26,"Air Jordan 4 Craft ""Olive""",Women,1.0,210.0,210.0,FB9927-200
27,Nike Vaporfly 3,Women,4.0,260.0,260.0,FV3634-181
28,Nike Vomero 17,Women,6.0,160.0,160.0,FB8502-100
29,Nike Air Max 90,Women,13.0,119.97,140.0,FB8455-001
30,Nike Dunk Low,Women,1.0,97.97,115.0,FQ8876-618
31,Nike Air Max 90 Futura,Women,8.0,150.0,150.0,DM9922-002
32,Nike Dunk High,Women,2.0,130.0,130.0,DD1869-103
33,Nike Pegasus Shield,Women,3.0,145.0,145.0,DO7626-001
34,Nike Winflo 10,Women,10.0,105.0,105.0,DV4023-001
35,Nike Motiva,Women,4.0,110.0,110.0,DV1238-001
36,Nike Free RN NN,Women,5.0,110.0,110.0,DX6482-002
37,Nike In-Season TR 13 PRM,Women,7.0,76.97,90.0,FB7147-001
38,Nike SuperRep Go 3 NN PRM,Women,12.0,97.97,115.0,FB7156-001
39,Nike Court Vision Alta,Women,4.0,67.97,90.0,DM0113-102
40,Nike Waffle Debut,Women,5.0,63.97,75.0,DH9523-100
41,Nike Pegasus Trail 4,Women,9.0,105.97,140.0,DJ6159-002
42,Nike InfinityRN 4 GORE-TEX,Women,4.0,180.0,180.0,FB2197-600
43,Nike Air Force 1 '07,Women,5.0,115.0,115.0,DD8959-100
44,Nike Air Force 1 Shadow,Women,14.0,135.0,135.0,CI0919-100
45,Nike Pegasus Trail 4 GORE-TEX,Women,10.0,160.0,160.0,DJ7929-001
46,Nike Alphafly 2,Women,4.0,285.0,285.0,DN3559-003
47,Nike Blazer Low Platform,Women,4.0,100.0,100.0,DJ0292-101
48,Nike Cortez,Women,5.0,90.0,90.0,DN1791-100
49,Nike Kiger 9,Women,7.0,120.97,160.0,DR2694-500
50,Nike Wildhorse 8,Women,5.0,119.97,140.0,DR2689-601
51,Nike Juniper Trail 2 GORE-TEX,Women,3.0,110.97,130.0,FB2065-500
52,Nike Zegama,Women,7.0,127.97,170.0,DH0625-500
53,Nike Calm,Women,4.0,37.97,50.0,DX4816-200
54,Nike Air Huarache Craft,Women,6.0,97.97,130.0,DQ8031-201
55,Nike SuperRep 4 NN Premium,Women,5.0,127.97,150.0,FB7154-001
56,Nike MC Trainer 2,Women,3.0,68.97,80.0,DM0824-003
57,Nike Air VaporMax Plus,Women,8.0,210.0,210.0,FQ8895-100
