,ShoeName,Category,no_colors,price_reduce,price,Brand,product_code,URL
0,,Women,1,115.0,115.0,Nike,DD1503-101,https://www.nike.com/t/dunk-low-womens-shoes-4W2Z5P/DD1503-101
1,Nike Gamma Force,Women,9,72.97,90.0,Nike,DX9176-101,https://www.nike.com/t/gamma-force-womens-shoes-4TR9Xf/DX9176-101
2,Nike Court Vision Low Next Nature,Women,6,60.97,80.0,Nike,DH3158-107,https://www.nike.com/t/court-vision-low-next-nature-womens-shoes-ZkMMBG/DH3158-107
3,Nike Air Max 270,Women,12,120.97,160.0,Nike,DZ7736-002,https://www.nike.com/t/air-max-270-womens-shoes-Pgb94t/DZ7736-002
4,Nike Air Max 1,Women,6,140.0,140.0,Nike,DZ2628-102,https://www.nike.com/t/air-max-1-womens-shoes-0vW0ds/DZ2628-102
5,Nike Free Metcon 5,Women,7,120.0,120.0,Nike,DV3950-601,https://www.nike.com/t/free-metcon-5-womens-workout-shoes-h4Zl5h/DV3950-601
6,Nike Metcon 9,Women,10,140.0,140.0,Nike,DZ2537-603,https://www.nike.com/t/metcon-9-womens-workout-shoes-xMlsHx/DZ2537-603
7,Nike Blazer Mid '77,Women,4,105.0,105.0,Nike,CZ1055-100,https://www.nike.com/t/blazer-mid-77-womens-shoes-NPWfjm/CZ1055-100
8,Nike Blazer Low '77,Women,1,90.0,90.0,Nike,DC4769-102,https://www.nike.com/t/blazer-low-77-womens-shoes-01lVDq/DC4769-102
9,Nike Pegasus 40,Women,18,130.0,130.0,Nike,DV3854-100,https://www.nike.com/t/pegasus-40-womens-road-running-shoes-L80k6C/DV3854-100
10,Nike Structure 25,Women,10,140.0,140.0,Nike,FV3635-171,https://www.nike.com/t/structure-25-womens-road-running-shoes-Zh2tPh/FV3635-171
11,Nike Court Legacy Lift,Women,9,76.97,90.0,Nike,DM7590-100,https://www.nike.com/t/court-legacy-lift-womens-shoes-x0B6BB/DM7590-100
12,Nike Court Legacy Next Nature,Women,6,59.97,70.0,Nike,DH3161-100,https://www.nike.com/t/court-legacy-next-nature-womens-shoes-8r07x0/DH3161-100
13,Nike InfinityRN 4,Women,15,136.97,160.0,Nike,DR2670-006,https://www.nike.com/t/infinityrn-4-womens-road-running-shoes-ZrWGRG/DR2670-006
14,Nike Invincible 3,Women,11,180.0,180.0,Nike,DR2660-001,https://www.nike.com/t/invincible-3-womens-road-running-shoes-r2vJbh/DR2660-001
15,Nike Air VaporMax 2023 Flyknit,Women,8,157.97,210.0,Nike,FD3148-001,https://www.nike.com/t/air-vapormax-2023-flyknit-womens-shoes-gZhc8N/FD3148-001
16,Nike Air Max Excee,Women,7,71.97,95.0,Nike,CD5432-101,https://www.nike.com/t/air-max-excee-womens-shoes-jKsgMj/CD5432-101
17,Nike Revolution 7,Women,6,52.97,70.0,Nike,FB2208-100,https://www.nike.com/t/revolution-7-womens-road-running-shoes-wP5p63/FB2208-100
18,Nike Interact Run,Women,3,72.97,85.0,Nike,FD2292-100,https://www.nike.com/t/interact-run-womens-road-running-shoes-v5LlQl/FD2292-100
19,Nike Air Force 1 Wild,Women,5,145.0,145.0,Nike,FB2348-700,https://www.nike.com/t/air-force-1-wild-womens-shoes-r7kSSl/FB2348-700
20,Nike Tech Hera,Women,7,82.97,110.0,Nike,DR9761-800,https://www.nike.com/t/tech-hera-womens-shoes-NjvkxR/DR9761-800
21,Nike Air Max SC,Women,12,67.97,90.0,Nike,FQ8886-100,https://www.nike.com/t/air-max-sc-womens-shoes-CwMCK7/FQ8886-100
22,Nike Dunk Low Twist,Women,4,106.97,125.0,Nike,DZ2794-700,https://www.nike.com/t/dunk-low-twist-womens-shoes-TsSP0p/DZ2794-700
