,ShoeName,Category,no_colors,price_reduce,price,count_of_sizes,color_black,color_blue,color_white,color_red,other_color,product_code,n_reviews,size,comfort,quality,star_rating,product_code2
0,,Women,1,115.0,115.0,13,1.0,0.0,1.0,0.0,,DD1503-101,617.0,49.0,78.0,44.66,4.8,DD1503-101
1,Nike Gamma Force,Women,9,72.97,90.0,15,1.0,1.0,1.0,1.0,brown,DX9176-101,147.0,61.0,75.0,50.78,4.5,DX9176-101
2,Nike Court Vision Low Next Nature,Women,6,60.97,80.0,15,1.0,1.0,1.0,0.0,pink,DH3158-107,199.0,59.0,78.0,46.67,4.6,DH3158-107
3,Nike Air Max 270,Women,12,120.97,160.0,15,1.0,1.0,1.0,0.0,green,DZ7736-002,2.0,,,,5.0,DZ7736-002
4,Nike Air Max 1,Women,6,140.0,140.0,13,1.0,1.0,1.0,0.0,orange,DZ2628-102,70.0,43.0,78.0,54.62,4.6,DZ2628-102
5,Nike Free Metcon 5,Women,7,120.0,120.0,11,1.0,0.0,1.0,1.0,purple,DV3950-601,303.0,45.0,89.0,49.51,4.7,DV3950-601
6,Nike Metcon 9,Women,10,140.0,140.0,15,1.0,0.0,1.0,0.0,brown,DZ2537-603,34.0,42.0,74.0,63.18,4.4,DZ2537-603
7,Nike Blazer Mid '77,Women,4,105.0,105.0,15,1.0,1.0,1.0,0.0,pink,CZ1055-100,707.0,47.0,66.0,38.94,4.6,CZ1055-100
8,Nike Blazer Low '77,Women,1,90.0,90.0,15,1.0,0.0,1.0,0.0,,DC4769-102,168.0,54.0,66.0,40.2,4.6,DC4769-102
9,Nike Pegasus 40,Women,18,130.0,130.0,15,1.0,0.0,1.0,1.0,brown,DV3854-100,371.0,50.0,89.0,49.66,4.7,DV3854-100
10,Nike Structure 25,Women,10,140.0,140.0,7,1.0,0.0,1.0,0.0,purple,FV3635-171,0.0,,,,0.0,FV3635-171
11,Nike Court Legacy Lift,Women,9,76.97,90.0,12,1.0,1.0,1.0,1.0,brown,DM7590-100,293.0,59.0,75.0,47.4,4.6,DM7590-100
12,Nike Court Legacy Next Nature,Women,6,59.97,70.0,15,1.0,0.0,1.0,1.0,pink,DH3161-100,448.0,36.0,68.0,37.05,4.5,DH3161-100
13,Nike InfinityRN 4,Women,15,136.97,160.0,12,1.0,0.0,1.0,1.0,purple,DR2670-006,188.0,29.0,86.0,47.2,4.5,DR2670-006
14,Nike Invincible 3,Women,11,180.0,180.0,15,1.0,1.0,1.0,0.0,purple,DR2660-001,360.0,50.0,85.0,49.44,4.4,DR2660-001
15,Nike Air VaporMax 2023 Flyknit,Women,8,157.97,210.0,14,1.0,0.0,1.0,0.0,pink,FD3148-001,1.0,50.0,50.0,50.0,1.0,FD3148-001
16,Nike Air Max Excee,Women,7,71.97,95.0,15,1.0,1.0,1.0,0.0,brown,CD5432-101,809.0,37.0,73.0,37.08,4.5,CD5432-101
17,Nike Revolution 7,Women,6,52.97,70.0,15,1.0,0.0,1.0,0.0,pink,FB2208-100,13.0,,,,4.0,FB2208-100
18,Nike Interact Run,Women,3,72.97,85.0,15,1.0,0.0,1.0,0.0,,FD2292-100,28.0,45.0,93.0,71.0,4.6,FD2292-100
19,Nike Air Force 1 Wild,Women,5,145.0,145.0,20,1.0,1.0,0.0,0.0,brown,FB2348-700,24.0,57.0,86.0,79.61,4.5,FB2348-700
20,Nike Tech Hera,Women,7,82.97,110.0,15,1.0,0.0,1.0,0.0,brown,DR9761-800,71.0,48.0,89.0,52.24,4.3,DR9761-800
21,Nike Air Max SC,Women,12,67.97,90.0,15,1.0,1.0,1.0,1.0,gold,FQ8886-100,1.0,50.0,100.0,83.33,5.0,FQ8886-100
22,Nike Dunk Low Twist,Women,4,106.97,125.0,15,1.0,0.0,1.0,0.0,,DZ2794-700,34.0,40.0,87.0,55.08,4.4,DZ2794-700
23,Nike Phoenix Waffle,Women,3,100.0,100.0,15,1.0,0.0,1.0,0.0,orange,FD2196-100,31.0,58.0,93.0,78.29,4.5,FD2196-100
